Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Birchall, Grant",12,8,17,29,,,,2.0,3.0,2.0,,,1.0,,,9.0,21.0,1.0,,4.0,2.0,,87.0
22,"Breust, Luke",6,5,10,16,1,3.0,,4.0,,2.0,,1.0,,1.0,,5.0,11.0,,3.0,,,2.0,89.0
9,"Burgoyne, Shaun",12,6,7,19,,,,1.0,,4.0,2.0,,2.0,,,5.0,16.0,,,3.0,2.0,1.0,88.0
23,"Franklin, Lance",15,6,8,23,3,7.0,,4.0,,4.0,1.0,3.0,3.0,3.0,1.0,12.0,12.0,2.0,5.0,2.0,,3.0,93.0
27,"Gilham, Stephen",8,5,5,13,,,,1.0,,,,1.0,,1.0,,2.0,11.0,,,3.0,,,83.0
18,"Guerra, Brent",6,3,8,14,,,,2.0,2.0,,1.0,1.0,,1.0,,3.0,11.0,,,2.0,,,86.0
20,"Hale, David",11,4,12,23,1,2.0,23.0,1.0,,5.0,2.0,4.0,1.0,2.0,,13.0,9.0,3.0,3.0,1.0,,,79.0
3,"Lewis, Jordan",6,5,20,26,1,,,1.0,,2.0,4.0,2.0,1.0,1.0,,18.0,10.0,,,2.0,,,91.0
5,"Mitchell, Sam",15,4,7,22,,,,8.0,5.0,3.0,5.0,2.0,3.0,1.0,,10.0,13.0,,,2.0,,,84.0
7 ↑,"Osborne, Michael",1,,,1,,,,,,,,,,,,,1.0,,,1.0,,,11.0
28,"Puopolo, Paul",5,3,4,9,2,1.0,,,,1.0,,2.0,1.0,1.0,,5.0,4.0,1.0,2.0,,,,71.0
33 ↓,"Rioli, Cyril",6,1,4,10,1,2.0,,1.0,,2.0,,3.0,2.0,,,6.0,6.0,,,4.0,1.0,,73.0
2,"Roughead, Jarryd",14,8,8,22,1,1.0,3.0,1.0,1.0,3.0,6.0,6.0,,2.0,,12.0,10.0,2.0,2.0,,,2.0,86.0
21,"Savage, Shane",10,5,10,20,1,2.0,,3.0,2.0,8.0,1.0,,1.0,,,5.0,15.0,1.0,,1.0,,,76.0
25,"Schoenmakers, Ryan",14,8,8,22,,,,,4.0,1.0,2.0,4.0,2.0,2.0,,8.0,14.0,2.0,,8.0,,,99.0
12,"Sewell, Brad",13,2,19,32,,1.0,,7.0,,4.0,4.0,,2.0,,3.0,12.0,20.0,1.0,,2.0,,1.0,85.0
26,"Shiels, Liam",12,4,12,24,,,,5.0,1.0,4.0,6.0,3.0,,1.0,,8.0,16.0,,,,,,86.0
16,"Smith, Isaac",8,4,8,16,1,1.0,,4.0,1.0,4.0,1.0,5.0,1.0,2.0,,5.0,12.0,,1.0,1.0,2.0,,86.0
24,"Stratton, Ben",8,6,7,15,,,,2.0,,1.0,1.0,1.0,,1.0,,5.0,10.0,2.0,,4.0,,,94.0
4,"Suckling, Matt",23,13,6,29,1,1.0,,,6.0,5.0,,3.0,,,2.0,3.0,25.0,,1.0,,1.0,,84.0
37,"Whitecross, Brendan",14,6,9,23,,2.0,,2.0,,3.0,3.0,2.0,,,,7.0,17.0,,1.0,4.0,,,88.0
11,"Young, Clinton",11,4,5,16,2,,,1.0,1.0,6.0,1.0,2.0,1.0,1.0,,4.0,12.0,,,1.0,1.0,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,230,110,194,424,15,25.0,26.0,50.0,26.0,64.0,40.0,45.0,21.0,20.0,6.0,157.0,276.0,15.0,18.0,45.0,9.0,9.0,
Opposition,Opposition,182,96,77,259,6,13.0,31.0,67.0,39.0,36.0,22.0,40.0,20.0,21.0,,105.0,149.0,18.0,10.0,52.0,8.0,4.0,
