North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Leigh",8,1,6,14,2,3.0,,4.0,,5.0,2.0,1.0,3.0,1.0,,7.0,8.0,,,2.0,,,71.0
4,"Anthony, Liam",10,4,13,23,,1.0,,3.0,1.0,5.0,2.0,1.0,,1.0,,4.0,18.0,,,,,1.0,73.0
18,"Atley, Shaun",12,3,14,26,,,,,1.0,2.0,1.0,,1.0,,2.0,6.0,21.0,,,4.0,4.0,,97.0
3,"Bastinac, Ryan",13,2,11,24,,1.0,,2.0,1.0,4.0,4.0,2.0,,,,8.0,15.0,,,2.0,1.0,,80.0
10,"Cunnington, Ben",10,7,13,23,1,1.0,,4.0,1.0,1.0,3.0,1.0,,,,9.0,14.0,1.0,2.0,1.0,,,74.0
15,"Delaney, Luke",4,2,5,9,,,,1.0,3.0,,,4.0,,1.0,,1.0,8.0,,,5.0,,,93.0
27,"Edwards, Aaron",7,6,3,10,3,2.0,,2.0,,,1.0,1.0,1.0,1.0,,4.0,6.0,2.0,5.0,1.0,,1.0,86.0
11,"Firrito, Michael",11,6,11,22,,,,2.0,4.0,2.0,,3.0,2.0,,,8.0,16.0,1.0,1.0,4.0,5.0,,100.0
24 ↑,"Greenwood, Levi",,,1,1,,,1.0,5.0,,,,,,,,1.0,,,,,,,21.0
23,"Harper, Kieran",11,1,4,15,2,3.0,,6.0,,4.0,2.0,1.0,,,,7.0,9.0,,,1.0,,,76.0
29,"Harvey, Brent",7,2,16,23,1,1.0,,3.0,1.0,1.0,,2.0,1.0,,,5.0,19.0,1.0,1.0,1.0,1.0,2.0,84.0
34,"Macmillan, Jamie",12,4,13,25,1,1.0,,3.0,4.0,3.0,3.0,1.0,1.0,,,8.0,17.0,,1.0,,,1.0,89.0
1,"McIntosh, Hamish",9,4,8,17,1,,40.0,5.0,1.0,3.0,5.0,1.0,2.0,,,10.0,8.0,,,3.0,,,87.0
41,"Mullett, Aaron",11,6,9,20,,1.0,,2.0,1.0,,1.0,1.0,,,,1.0,18.0,,,,,1.0,89.0
20,"Petrie, Drew",10,7,6,16,3,,9.0,4.0,,6.0,,,4.0,,,10.0,6.0,2.0,2.0,3.0,,,85.0
9,"Swallow, Andrew",10,3,21,31,,,,4.0,2.0,6.0,10.0,3.0,1.0,1.0,3.0,17.0,15.0,,,2.0,,1.0,81.0
25,"Tarrant, Robbie",10,4,8,18,,2.0,,,,5.0,,,2.0,,,10.0,8.0,1.0,2.0,1.0,,,97.0
12,"Thomas, Lindsay",15,4,4,19,3,,,4.0,,7.0,1.0,1.0,2.0,,,9.0,10.0,,,2.0,,3.0,86.0
16,"Thompson, Scott",9,6,10,19,,1.0,,2.0,1.0,2.0,,4.0,1.0,3.0,,9.0,11.0,1.0,1.0,5.0,2.0,,100.0
8 ↓,"Wells, Daniel",6,3,7,13,,,,2.0,,3.0,2.0,1.0,,,,3.0,11.0,,,2.0,,,63.0
19,"Wright, Sam",7,1,6,13,,2.0,,1.0,,1.0,1.0,4.0,,2.0,,5.0,8.0,1.0,1.0,1.0,1.0,,91.0
7,"Ziebell, Jack",7,1,7,14,,,,6.0,,1.0,3.0,5.0,,2.0,,10.0,4.0,,,3.0,,,74.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,77,196,395,17,25.0,50.0,65.0,21.0,61.0,41.0,37.0,21.0,12.0,5.0,152.0,250.0,10.0,16.0,43.0,14.0,10.0,
Opposition,Opposition,191,89,109,300,13,15.0,37.0,58.0,29.0,43.0,35.0,46.0,12.0,21.0,1.0,123.0,178.0,9.0,12.0,59.0,19.0,7.0,
