Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Batchelor, Jake",5,3,4,9,,,,3.0,,,,1.0,,,,,9.0,,,3.0,,,91.0
25,"Chaplin, Troy",11,10,6,17,,,,1.0,1.0,,,,,,,4.0,13.0,1.0,,2.0,,,99.0
9,"Cotchin, Trent",21,6,11,32,2,1.0,,3.0,1.0,7.0,6.0,2.0,3.0,,3.0,18.0,13.0,1.0,1.0,1.0,,1.0,87.0
3,"Deledio, Brett",17,13,13,30,2,2.0,,2.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,10.0,20.0,2.0,3.0,,,2.0,87.0
5,"Ellis, Brandon",16,8,13,29,1,2.0,,5.0,,3.0,2.0,4.0,1.0,,,6.0,23.0,,,,,,86.0
32,"Ellis, Corey",6,3,7,13,,,,1.0,,2.0,3.0,,1.0,,,7.0,6.0,,,,,1.0,77.0
43,"Elton, Todd",2,2,3,5,,,,1.0,3.0,,,3.0,,2.0,,1.0,4.0,1.0,,3.0,,,95.0
6,"Grigg, Shaun",17,7,11,28,2,,,2.0,,5.0,3.0,1.0,,,,8.0,19.0,1.0,,,,3.0,81.0
2,"Grimes, Dylan",3,,5,8,,,,1.0,,2.0,,1.0,3.0,1.0,,3.0,6.0,,,6.0,,,69.0
14,"Houli, Bachar",11,4,11,22,,,,5.0,9.0,3.0,,,1.0,,,4.0,16.0,,,4.0,2.0,,87.0
28,"Hunt, Taylor",11,5,6,17,,,,,1.0,2.0,,,,,,4.0,13.0,,,,,1.0,83.0
20,"Maric, Ivan",7,3,9,16,1,,34.0,7.0,1.0,1.0,3.0,,2.0,,,8.0,8.0,2.0,,3.0,,1.0,87.0
4,"Martin, Dustin",21,6,5,26,,,,6.0,3.0,3.0,6.0,5.0,,2.0,,8.0,18.0,,,2.0,,,83.0
34 ↓,"McBean, Liam",3,2,4,7,,,,1.0,,,,2.0,,1.0,,2.0,5.0,,1.0,1.0,,,61.0
33,"McIntosh, Kamdyn",11,1,4,15,1,,,2.0,1.0,3.0,2.0,3.0,1.0,,,6.0,10.0,,,1.0,1.0,,81.0
37 ↑,"Menadue, Connor",1,,,1,,1.0,,2.0,,,,,1.0,,,1.0,,,,1.0,,,18.0
26,"Miles, Anthony",16,5,5,21,,,,7.0,8.0,4.0,4.0,2.0,3.0,1.0,,9.0,12.0,,,,,,88.0
38,"Morris, Steven",1,2,6,7,,,,4.0,,,2.0,2.0,,2.0,,3.0,4.0,,1.0,1.0,,1.0,84.0
18,"Rance, Alex",8,6,15,23,,,2.0,5.0,4.0,1.0,,,2.0,,,8.0,14.0,1.0,,4.0,,1.0,98.0
8,"Riewoldt, Jack",12,8,5,17,4,,,3.0,,2.0,,2.0,,2.0,,7.0,10.0,1.0,3.0,1.0,,2.0,93.0
29,"Vickery, Ty",8,5,4,12,3,,7.0,,,5.0,,1.0,1.0,1.0,,2.0,10.0,,2.0,1.0,,2.0,89.0
31,"Vlastuin, Nick",6,3,6,12,,,,2.0,1.0,,1.0,1.0,,,,5.0,7.0,1.0,,3.0,,,76.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,214,102,153,367,16,9.0,43.0,63.0,34.0,46.0,35.0,34.0,21.0,13.0,4.0,124.0,240.0,11.0,11.0,37.0,3.0,15.0,
Opposition,Opposition,172,70,156,328,15,10.0,33.0,55.0,21.0,53.0,40.0,45.0,13.0,21.0,2.0,123.0,205.0,9.0,18.0,29.0,4.0,11.0,
