Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
17,"Blease, Sam",22y 130d,27 (6-0-21 22.22%),22 (0.81),←,
10,"Byrnes, Shannon",29y 83d,118 (81-0-37 68.64%),106 (0.90),10 (2-0-8 20.00%),6 (0.60)
50,"Clisby, Mitch",23y 175d,2 (1-0-1 50.00%),,←,
36,"Davey, Aaron",30y 19d,169 (62-3-104 37.57%),170 (1.01),←,
6,"Dawes, Chris",25y 44d,78 (55-1-22 71.15%),90 (1.15),7 (1-0-6 14.29%),7 (1.00)
14,"Dunn, Lynden",26y 46d,108 (30-2-76 28.70%),90 (0.83),←,
48,"Fitzpatrick, Jack",22y 3d,7 (1-0-6 14.29%),6 (0.86),←,
8,"Frawley, James",24y 282d,112 (31-1-80 28.13%),3 (0.03),←,
20,"Garland, Colin",25y 62d,93 (23-2-68 25.81%),13 (0.14),←,
37,"Gawn, Max",21y 181d,11 (4-0-7 36.36%),8 (0.73),←,
38,"Howe, Jeremy",23y,48 (11-0-37 22.92%),57 (1.19),←,
45,"Jones, Matt",25y 254d,13 (2-0-11 15.38%),2 (0.15),←,
2,"Jones, Nathan",25y 160d,148 (37-3-108 26.01%),73 (0.49),←,
34,"Kent, Dean",19y 125d,6 (1-0-5 16.67%),3 (0.50),←,
25,"McDonald, Tom",20y 284d,30 (7-0-23 23.33%),,←,
26,"Nicholson, Daniel",22y 239d,28 (7-0-21 25.00%),3 (0.11),←,
15,"Rodan, David",29y 264d,183 (63-1-119 34.70%),131 (0.72),7 (1-0-6 14.29%),2 (0.29)
12,"Sylvia, Colin",27y 233d,148 (48-2-98 33.11%),126 (0.85),←,
46,"Terlich, Dean",23y 198d,12 (2-0-10 16.67%),,←,
5,"Toumpas, Jimmy",19y 178d,7 (1-0-6 14.29%),,←,
9,"Trengove, Jack",21y 300d,70 (20-2-48 30.00%),36 (0.51),←,
4,"Watts, Jack",22y 95d,64 (18-2-44 29.69%),48 (0.75),←,
Totals,Totals,24y 53d,1482 (511-19-952 34.48%),987 (0.67),,
C,"Craig, Neil",57y 169d,168 (93-0-75 55.36%),,2 (1-0-1 50.00%),
