Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
7,"Cunningham, Harry",22y 139d,57 (40-0-17 70.18%),35 (0.61),←,
23,"Franklin, Lance",29y 84d,226 (143-1-82 63.50%),724 (3.20),44 (34-0-10 77.27%),144 (3.27)
39,"Grundy, Heath",29y 326d,192 (120-2-70 63.02%),23 (0.12),←,
4,"Hannebery, Dan",25y 59d,149 (97-2-50 65.77%),73 (0.49),←,
5,"Heeney, Isaac",19y 354d,19 (13-0-6 68.42%),24 (1.26),←,
29,"Hewett, George",20y 116d,4 (4-0-0 100.00%),3 (0.75),←,
15,"Jack, Kieren",28y 300d,190 (118-3-69 62.89%),131 (0.69),←,
12,"Kennedy, Josh",27y 308d,163 (105-2-56 65.03%),97 (0.60),150 (100-2-48 67.33%),93 (0.62)
11,"Laidler, Jeremy",26y 262d,73 (51-1-21 70.55%),7 (0.10),47 (36-0-11 76.60%),5 (0.11)
44,"Lloyd, Jake",22y 216d,48 (36-0-12 75.00%),12 (0.25),←,
21,"McGlynn, Ben",30y 261d,156 (94-2-60 60.90%),175 (1.12),112 (71-2-39 64.29%),147 (1.31)
3,"McVeigh, Jarrad",31y 16d,268 (164-4-100 61.94%),186 (0.69),←,
14,"Mills, Callum",19y 21d,5 (4-0-1 80.00%),,←,
6,"Mitchell, Tom",22y 328d,44 (27-0-17 61.36%),27 (0.61),←,
41,"Papley, Tom",19y 285d,5 (4-0-1 80.00%),8 (1.60),←,
26,"Parker, Luke",23y 181d,106 (72-1-33 68.40%),82 (0.77),←,
24,"Rampe, Dane",25y 326d,77 (53-1-23 69.48%),5 (0.06),←,
25,"Richards, Ted",33y 103d,257 (158-4-95 62.26%),33 (0.13),224 (139-4-81 62.95%),14 (0.06)
27,"Robinson, Dan",21y 295d,9 (8-0-1 88.89%),3 (0.33),←,
18,"Sinclair, Callum",26y 213d,33 (26-1-6 80.30%),23 (0.70),4 (4-0-0 100.00%),5 (1.25)
40,"Smith, Nick",27y 316d,147 (93-2-52 63.95%),9 (0.06),←,
8,"Tippett, Kurt",28y 351d,157 (91-0-66 57.96%),309 (1.97),53 (38-0-15 71.70%),121 (2.28)
Totals,Totals,25y 238d,2385 (1521-26-838 63.77%),1989 (0.83),,
C,"Longmire, John",45y 114d,128 (87-2-39 68.75%),,←,
