St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
20,"Armitage, David",22y 359d,39 (19-1-19 50.00%),21 (0.54),←,
10,"Baker, Steven",31y 19d,201 (105-4-92 53.23%),35 (0.17),←,
8,"Clarke, Raphael",25y 259d,70 (45-1-24 65.00%),7 (0.10),←,
26,"Dal Santo, Nick",27y 108d,204 (120-5-79 60.05%),109 (0.53),←,
6,"Dawson, Zac",25y 108d,67 (39-3-25 60.45%),3 (0.04),53 (35-3-15 68.87%),3 (0.06)
24,"Dempster, Sean",27y 141d,107 (64-3-40 61.21%),16 (0.15),53 (29-3-21 57.55%),8 (0.15)
25,"Fisher, Sam",28y 335d,155 (97-4-54 63.87%),19 (0.12),←,
16,"Gamble, Ryan",23y 260d,28 (19-1-8 69.64%),34 (1.21),4 (1-1-2 37.50%),3 (0.75)
19,"Gilbert, Sam",24y 295d,98 (62-4-32 65.31%),16 (0.16),←,
18,"Goddard, Brendon",26y 21d,173 (108-3-62 63.29%),85 (0.49),←,
1,"Gram, Jason",27y 44d,127 (76-4-47 61.42%),64 (0.50),125 (75-4-46 61.60%),64 (0.51)
33,"Gwilt, James",24y 303d,78 (49-3-26 64.74%),19 (0.24),←,
4,"Jones, Clinton",27y 128d,85 (58-4-23 70.59%),26 (0.31),←,
37,"Ledger, Tom",19y 85d,2 (1-0-1 50.00%),1 (0.50),←,
5,"McEvoy, Ben",21y 334d,41 (29-2-10 73.17%),13 (0.32),←,
44,"Milne, Stephen",31y 94d,224 (121-5-98 55.13%),456 (2.04),←,
30,"Peake, Brett",27y 340d,105 (53-3-49 51.90%),57 (0.54),30 (19-3-8 68.33%),15 (0.50)
22,"Ray, Farren",25y 79d,134 (78-4-52 59.70%),44 (0.33),59 (43-3-13 75.42%),12 (0.20)
12,"Riewoldt, Nick",28y 236d,208 (114-5-89 56.01%),453 (2.18),←,
13,"Schneider, Adam",27y 29d,175 (112-3-60 64.86%),212 (1.21),77 (52-2-23 68.83%),113 (1.47)
31,"Simpkin, Tom",20y 307d,2 (1-0-1 50.00%),,←,
3,"Steven, Jack",21y 74d,18 (9-1-8 52.78%),18 (1.00),←,
Totals,Totals,25y 263d,2341 (1379-63-899 58.91%),1708 (0.73),,
C,"Lyon, Ross",44y 214d,109 (68-4-37 64.22%),,←,
