North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Anderson, Stuart",7,5,9,16,,,,1.0,,,,,1.0,1.0,,,,,,,,,
11,"Archer, Glenn",8,5,2,10,1,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,
14,"Armstrong, Matt",8,6,4,12,,,,2.0,,,,,1.0,,,,,,,,,,
26,"Bell, Peter",2,1,3,5,,1.0,,,,,,,1.0,,,,,,,,,,
12,"Blakey, John",17,4,8,25,1,2.0,1.0,2.0,,,,,,3.0,,,,,,,,,
16,"Capuano, Mathew",8,2,7,15,1,,13.0,1.0,,,,,2.0,2.0,,,,,,,,,
18,"Carey, Wayne",14,10,5,19,3,4.0,,1.0,,,,,,3.0,,,,,,,,,
6,"Fairley, Ian",9,3,1,10,,,,1.0,,,,,1.0,2.0,,,,,,,,,
17,"Freeborn, Glenn",7,3,3,10,1,,,,,,,,,,,,,,,,,,
34,"King, David",11,4,3,14,,,,1.0,,,,,1.0,1.0,,,,,,,,,
7,"Laidley, Dani",8,1,5,13,,,,,,,,,3.0,1.0,,,,,,,,,
4,"Martyn, Mick",10,3,2,12,,,,1.0,,,,,2.0,2.0,,,,,,,,,
19,"McFarlane, Sam",5,1,3,8,,,,2.0,,,,,1.0,,,,,,,,,,
13,"Nichols, Trent",6,1,3,9,,,,,,,,,,1.0,,,,,,,,,
20,"Reynolds, Keenan",4,1,1,5,,,5.0,,,,,,,2.0,,,,,,,,,
22,"Roberts, Mark",12,2,5,17,,,5.0,2.0,,,,,1.0,3.0,,,,,,,,,
3,"Rock, Anthony",19,3,7,26,,1.0,,1.0,,,,,3.0,1.0,,,,,,,,,
8,"Scott, Robert",3,2,6,9,,1.0,,2.0,,,,,,2.0,,,,,,,,,
24,"Sholl, Craig",10,1,6,16,,,,2.0,,,,,,,,,,,,,,,
37,"Simpson, Adam",6,,,6,,1.0,,3.0,,,,,1.0,,,,,,,,,,
10,"Stevens, Anthony",12,6,7,19,,1.0,,1.0,,,,,,3.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,64,90,276,7,16.0,24.0,24.0,,,,,19.0,29.0,,,,,,,,,
Opposition,Opposition,219,92,148,367,19,11.0,25.0,27.0,,,,,29.0,19.0,6.0,,,,,,,,
