Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Beveridge, Luke",1,,3,4,1,,,1.0,,,,,1.0,,,,,,,,,,
18,"Cameron, Leon",18,2,6,24,2,2.0,,,,,,,,,1.0,,,,,,,,
16,"Croft, Matthew",6,2,1,7,,,,1.0,,,,,,,,,,,,,,,
3,"Grant, Chris",14,5,4,18,4,3.0,1.0,3.0,,,,,2.0,3.0,,,,,,,,,
1,"Grgic, Ilija",9,5,1,10,3,1.0,5.0,,,,,,1.0,1.0,,,,,,,,,
10,"Hunter, Mark",20,2,6,26,,,,1.0,,,,,,,,,,,,,,,
6,"Johnson, Brad",14,3,3,17,,2.0,,4.0,,,,,1.0,,,,,,,,,,
4,"Kellett, Nigel",4,1,2,6,,,,2.0,,,,,1.0,1.0,,,,,,,,,
2,"Kolyniuk, Steven",5,,6,11,1,,,,,,,,2.0,,,,,,,,,,
35,"Kretiuk, Steven",7,2,6,13,1,,,2.0,,,,,1.0,1.0,,,,,,,,,
36,"Lane, Tyson",14,4,1,15,,,,4.0,,,,,1.0,,,,,,,,,,
39,"Liberatore, Tony",15,,11,26,1,,,10.0,,,,,5.0,3.0,3.0,,,,,,,,
44,"Osborne, Richard",7,3,3,10,2,,,1.0,,,,,,1.0,,,,,,,,,
11,"Romero, Jose",21,5,6,27,,,,1.0,,,,,4.0,1.0,,,,,,,,,
34,"Sexton, Ben",9,8,4,13,,,,2.0,,,,,,,,,,,,,,,
38,"Sir, Sedat",5,4,4,9,,,,1.0,,,,,,,,,,,,,,,
17,"Standfield, Barry",7,2,4,11,,,1.0,1.0,,,,,2.0,3.0,,,,,,,,,
24,"Wallis, Stephen",11,8,9,20,,,,4.0,,,,,,2.0,,,,,,,,,
25,"Watts, Jason",3,1,2,5,,,,1.0,,,,,,,,,,,,,,,
7,"West, Scott",10,,5,15,,,,1.0,,,,,,1.0,,,,,,,,,
15,"Wynd, Scott",3,1,4,7,,,13.0,1.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,203,58,91,294,15,12.0,20.0,41.0,,,,,21.0,18.0,4.0,,,,,,,,
Opposition,Opposition,171,69,111,282,12,13.0,12.0,20.0,,,,,18.0,21.0,2.0,,,,,,,,
