Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
2,"Armstrong, Steven",4,1,,4,1,,,2.0,1.0,,,,3.0,,,3.0,1.0,,,3.0,,,54.0
21,"Bell, Daniel",6,1,5,11,,,,2.0,2.0,1.0,1.0,3.0,,2.0,,6.0,5.0,,,2.0,,,100.0
25,"Brown, Nathan",21,11,4,25,,,,,3.0,2.0,,2.0,1.0,,,8.0,16.0,2.0,,1.0,1.0,,100.0
41,"Carroll, Nathan",7,2,6,13,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,8.0,6.0,,,4.0,1.0,,92.0
36,"Davey, Aaron",12,5,3,15,1,3.0,,4.0,1.0,2.0,1.0,4.0,3.0,1.0,,10.0,6.0,1.0,,3.0,1.0,,97.0
30,"Godfrey, Simon",4,3,3,7,,,,1.0,,1.0,2.0,2.0,2.0,2.0,,6.0,6.0,,,1.0,,,89.0
18,"Green, Brad",11,8,9,20,1,1.0,,1.0,2.0,3.0,,2.0,1.0,1.0,,3.0,18.0,,,1.0,,,100.0
4,"Holland, Ben",5,3,7,12,1,1.0,,1.0,,3.0,2.0,3.0,1.0,2.0,,9.0,3.0,2.0,1.0,1.0,,,62.0
16,"Johnstone, Travis",17,5,5,22,,2.0,,2.0,3.0,8.0,4.0,1.0,,,,9.0,13.0,,2.0,2.0,,1.0,90.0
23,"McDonald, James",5,,5,10,,,1.0,4.0,1.0,3.0,2.0,3.0,1.0,3.0,,4.0,6.0,,,1.0,1.0,,53.0
5,"McLean, Brock",4,5,9,13,,,,3.0,1.0,2.0,2.0,2.0,,,,6.0,7.0,,,,,2.0,74.0
7,"Miller, Brad",4,3,5,9,,,1.0,,,3.0,1.0,2.0,1.0,1.0,,6.0,3.0,1.0,,2.0,,2.0,79.0
22,"Moloney, Brent",13,4,5,18,,1.0,,3.0,2.0,3.0,4.0,3.0,2.0,3.0,,6.0,12.0,,,,,,76.0
44,"Motlop, Shannon",5,1,5,10,,,,,,1.0,3.0,1.0,,,,8.0,1.0,1.0,,2.0,,1.0,71.0
9,"Neitz, David",4,1,1,5,1,,,1.0,,2.0,,1.0,2.0,,,5.0,1.0,1.0,,2.0,,,65.0
8,"Nicholson, Alistair",3,4,4,7,,,,2.0,,,1.0,,,,,5.0,2.0,3.0,,6.0,,,94.0
28,"Read, Phillip",3,2,2,5,,,,1.0,,,,,,,,2.0,3.0,,,,,,33.0
43,"Rigoni, Guy",20,9,5,25,1,,,3.0,4.0,10.0,3.0,1.0,,1.0,,6.0,19.0,1.0,,1.0,2.0,1.0,81.0
24,"Robertson, Russell",9,6,1,10,6,1.0,,1.0,,,1.0,3.0,1.0,,,3.0,7.0,,6.0,,,,100.0
31,"Wheatley, Paul",8,5,4,12,,2.0,,1.0,5.0,2.0,1.0,1.0,2.0,,,4.0,7.0,1.0,,4.0,2.0,,100.0
34,"White, Jeff",9,7,9,18,2,1.0,28.0,1.0,1.0,2.0,5.0,1.0,1.0,,1.0,5.0,12.0,,1.0,1.0,,,100.0
13,"Yze, Adem",15,4,2,17,2,,,1.0,4.0,2.0,,,,,,8.0,9.0,2.0,2.0,3.0,6.0,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,189,90,99,288,16,13.0,31.0,36.0,32.0,51.0,34.0,36.0,22.0,16.0,1.0,130.0,163.0,15.0,12.0,40.0,14.0,7.0,
Opposition,Opposition,185,90,122,307,16,9.0,23.0,43.0,33.0,50.0,28.0,47.0,16.0,22.0,5.0,102.0,200.0,7.0,20.0,57.0,36.0,9.0,
