Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
18,"Cameron, Leon",23y 330d,113 (57-2-54 51.33%),47 (0.42),←,
21,"Campbell, Tony",28y 350d,115 (62-0-53 53.91%),64 (0.56),40 (23-0-17 57.50%),3 (0.08)
11,"Curley, Todd",23y 196d,20 (5-1-14 27.50%),23 (1.15),17 (3-1-13 20.59%),22 (1.29)
14,"Darcy, Luke",21y 16d,19 (4-1-14 23.68%),10 (0.53),←,
32,"Ellis, Craig",21y 54d,19 (7-0-12 36.84%),,←,
3,"Grant, Chris",23y 228d,139 (68-3-68 50.00%),272 (1.96),←,
1,"Grgic, Ilija",24y 145d,60 (31-1-28 52.50%),92 (1.53),←,
37,"Hargraves, Daniel",20y 186d,29 (11-0-18 37.93%),52 (1.79),←,
10,"Hunter, Mark",30y 329d,130 (61-3-66 48.08%),10 (0.08),←,
6,"Johnson, Brad",20y 10d,47 (17-2-28 38.30%),28 (0.60),←,
4,"Kellett, Nigel",26y 223d,92 (44-2-46 48.91%),41 (0.45),←,
27,"Lane, Tyson",19y 338d,10 (4-0-6 40.00%),8 (0.80),←,
39,"Liberatore, Tony",30y 168d,168 (86-3-79 52.08%),80 (0.48),←,
22,"Quill, Peter",26y 340d,59 (29-2-28 50.85%),19 (0.32),←,
36,"Romero, Jose",24y 362d,121 (60-1-60 50.00%),115 (0.95),32 (11-1-20 35.94%),17 (0.53)
38,"Sir, Sedat",21y 144d,14 (3-1-10 25.00%),,←,
5,"Smith, Rohan",23y 58d,70 (33-2-35 48.57%),35 (0.50),←,
24,"Wallis, Stephen",31y 275d,256 (128-4-124 50.78%),57 (0.22),←,
25,"Watts, Jason",24y 365d,47 (20-1-26 43.62%),40 (0.85),←,
45,"Wira, Brad",24y 134d,17 (3-1-13 20.59%),,16 (3-1-12 21.88%),
15,"Wynd, Scott",26y 185d,142 (67-3-72 48.24%),24 (0.17),←,
Totals,Totals,24y 263d,1687 (800-33-854 47.42%),1017 (0.60),,
C,"Wallace, Terry",37y 228d,5 (1-0-4 20.00%),,←,
