St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
10,"Baker, Steven",28y 360d,162 (80-2-80 50.00%),34 (0.21),←,
14,"Ball, Luke",24y 357d,130 (80-0-50 61.54%),57 (0.44),←,
27,"Blake, Jason",28y 63d,144 (75-2-67 52.78%),33 (0.23),←,
26,"Dal Santo, Nick",25y 84d,152 (86-2-64 57.24%),78 (0.51),←,
43,"Dawson, Zac",23y 84d,22 (12-0-10 54.55%),1 (0.05),8 (8-0-0 100.00%),1 (0.13)
25,"Fisher, Sam",26y 311d,104 (65-1-38 62.98%),9 (0.09),←,
15,"Gardiner, Michael",29y 316d,146 (78-2-66 54.11%),95 (0.65),17 (12-0-5 70.59%),8 (0.47)
42,"Geary, Jarryn",20y 328d,18 (13-0-5 72.22%),5 (0.28),←,
19,"Gilbert, Sam",22y 271d,47 (30-1-16 64.89%),11 (0.23),←,
18,"Goddard, Brendon",23y 362d,121 (75-0-46 61.98%),49 (0.40),←,
1,"Gram, Jason",25y 20d,85 (51-1-33 60.59%),44 (0.52),83 (50-1-32 60.84%),44 (0.53)
33,"Gwilt, James",22y 279d,34 (22-0-12 64.71%),9 (0.26),←,
7,"Hayes, Lenny",29y 123d,199 (93-3-103 47.49%),70 (0.35),←,
38,"Jones, Clinton",25y 104d,34 (24-1-9 72.06%),12 (0.35),←,
2,"King, Steven",30y 176d,221 (118-2-101 53.85%),82 (0.37),28 (19-0-9 67.86%),7 (0.25)
23,"Koschitzke, Justin",26y 239d,126 (67-1-58 53.57%),139 (1.10),←,
32,"McQualter, Andrew",22y 342d,43 (26-0-17 60.47%),15 (0.35),←,
44,"Milne, Stephen",29y 70d,173 (88-2-83 51.45%),348 (2.01),←,
11,"Montagna, Leigh",25y 196d,106 (65-1-40 61.79%),64 (0.60),←,
22,"Ray, Farren",23y 55d,83 (43-1-39 52.41%),33 (0.40),8 (8-0-0 100.00%),1 (0.13)
12,"Riewoldt, Nick",26y 212d,166 (88-2-76 53.61%),344 (2.07),←,
13,"Schneider, Adam",25y 5d,125 (78-1-46 62.80%),140 (1.12),27 (18-0-9 66.67%),41 (1.52)
Totals,Totals,25y 281d,2441 (1357-25-1059 55.59%),1672 (0.68),,
C,"Lyon, Ross",42y 190d,55 (33-1-21 60.91%),,←,
