Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Addison, Dylan",8,5,10,18,,,,3.0,2.0,1.0,2.0,2.0,1.0,1.0,,5.0,12.0,1.0,,1.0,,,90.0
47,"Austin, Mark",5,4,7,12,,,,3.0,2.0,,,2.0,,1.0,,5.0,6.0,,,8.0,,,90.0
5,"Boyd, Matthew",16,3,19,35,1,1.0,1.0,3.0,1.0,4.0,9.0,1.0,,,3.0,15.0,19.0,,,1.0,1.0,1.0,91.0
17,"Cooney, Adam",12,2,15,27,2,1.0,,2.0,1.0,4.0,3.0,2.0,1.0,,,9.0,17.0,,1.0,1.0,,1.0,86.0
49,"Cordy, Ayce",6,6,7,13,1,,11.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,5.0,8.0,2.0,1.0,,,,79.0
4,"Cross, Daniel",9,5,25,34,,,,4.0,2.0,2.0,7.0,2.0,4.0,1.0,,12.0,23.0,,,2.0,,1.0,91.0
40,"Dahlhaus, Luke",9,,8,17,2,,,2.0,,4.0,4.0,1.0,2.0,1.0,,11.0,7.0,,,1.0,,,82.0
33,"Djerrkura, Nathan",8,7,5,13,1,,,5.0,2.0,3.0,,2.0,,1.0,,2.0,11.0,,1.0,,,2.0,83.0
1,"Grant, Jarrad",11,4,4,15,1,2.0,,2.0,,2.0,,2.0,,1.0,,2.0,12.0,,2.0,4.0,,,81.0
16,"Griffen, Ryan",16,7,21,37,1,1.0,,2.0,4.0,8.0,6.0,2.0,1.0,1.0,2.0,13.0,24.0,,,2.0,,2.0,83.0
7,"Higgins, Shaun",10,3,8,18,2,2.0,,6.0,1.0,2.0,1.0,3.0,2.0,2.0,,3.0,15.0,,2.0,1.0,1.0,1.0,81.0
19,"Jones, Liam",6,5,3,9,1,1.0,,1.0,,3.0,,5.0,,3.0,,7.0,3.0,3.0,2.0,,,,89.0
36,"Lake, Brian",15,7,7,22,,,,3.0,4.0,3.0,1.0,2.0,2.0,,,4.0,18.0,1.0,,2.0,,,91.0
21 ↑,"Liberatore, Tom",10,4,4,14,,,,1.0,,5.0,4.0,2.0,,2.0,,5.0,9.0,,,,,1.0,48.0
27,"Minson, Will",6,3,11,17,,,30.0,6.0,,4.0,2.0,1.0,1.0,1.0,,11.0,7.0,2.0,,3.0,,,81.0
2,"Murphy, Robert",12,1,4,16,,,,3.0,2.0,2.0,,,1.0,,,1.0,14.0,,,3.0,3.0,1.0,85.0
42,"Picken, Liam",9,3,16,25,1,,1.0,7.0,,2.0,1.0,6.0,,2.0,,5.0,20.0,1.0,1.0,4.0,,,86.0
23 ↓,"Roughead, Jordan",1,2,1,2,,,6.0,,,1.0,,,,,,,2.0,,,1.0,,,46.0
11,"Sherman, Justin",12,7,12,24,1,3.0,,4.0,,4.0,,,,,,5.0,19.0,,1.0,1.0,,2.0,89.0
8,"Veszpremi, Patrick",7,3,8,15,,,,,3.0,2.0,1.0,3.0,2.0,3.0,,6.0,9.0,,,2.0,,1.0,79.0
3,"Wallis, Mitch",10,5,15,25,1,,,6.0,2.0,3.0,7.0,2.0,2.0,,,15.0,10.0,,1.0,1.0,,,81.0
10,"Wood, Easton",10,3,3,13,,,,3.0,1.0,2.0,,2.0,1.0,1.0,,1.0,11.0,,,5.0,,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,208,89,213,421,15,14.0,49.0,68.0,28.0,62.0,49.0,44.0,21.0,23.0,5.0,142.0,276.0,10.0,12.0,43.0,5.0,13.0,
Opposition,Opposition,189,88,179,368,9,8.0,39.0,47.0,39.0,37.0,37.0,44.0,24.0,21.0,1.0,137.0,237.0,13.0,4.0,48.0,17.0,6.0,
