Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Taylor",18,3,11,29,1,,,7.0,1.0,9.0,13.0,5.0,2.0,,1.0,18.0,7.0,,,3.0,1.0,1.0,75.0
17,"Brown, Callum",7,6,4,11,,1.0,,3.0,2.0,3.0,1.0,1.0,1.0,,,4.0,7.0,2.0,,,,,56.0
6,"Brown, Tyler",5,4,11,16,,,,,1.0,1.0,4.0,1.0,,,,7.0,9.0,,,1.0,,,87.0
46,"Cox, Mason",6,3,4,10,2,3.0,4.0,3.0,,,,5.0,3.0,2.0,,7.0,3.0,2.0,1.0,,,,87.0
25,"Crisp, Jack",24,7,12,36,,,,3.0,3.0,6.0,2.0,8.0,3.0,5.0,3.0,15.0,24.0,1.0,,3.0,2.0,1.0,91.0
7,"Daicos, Josh",10,2,6,16,1,,,5.0,2.0,3.0,1.0,1.0,,,,4.0,12.0,,,,1.0,,71.0
2,"de Goey, Jordan",11,6,5,16,4,3.0,,1.0,,2.0,,2.0,1.0,1.0,,4.0,13.0,,5.0,,,2.0,88.0
5 ↓,"Elliott, Jamie",4,4,1,5,2,,,1.0,,1.0,,2.0,,1.0,,2.0,4.0,,2.0,1.0,,1.0,28.0
4,"Grundy, Brodie",7,3,9,16,,,51.0,6.0,4.0,1.0,4.0,5.0,2.0,1.0,,10.0,8.0,1.0,,4.0,,1.0,89.0
32,"Hoskin-Elliott, Will",11,7,1,12,1,,,3.0,1.0,2.0,,,,,,2.0,10.0,1.0,1.0,1.0,1.0,,80.0
38,"Howe, Jeremy",15,6,7,22,,,,3.0,6.0,,,3.0,1.0,1.0,,7.0,12.0,,,2.0,,,97.0
44,"Madgen, Jack",11,5,5,16,,,,,4.0,,,2.0,,,,2.0,14.0,,,4.0,,,89.0
37,"Maynard, Brayden",10,2,3,13,,,,3.0,3.0,1.0,,3.0,1.0,1.0,,2.0,8.0,1.0,,1.0,,,85.0
41,"Mihocek, Brody",8,6,1,9,3,,,1.0,,3.0,,3.0,1.0,2.0,,4.0,4.0,2.0,3.0,,,,86.0
30,"Moore, Darcy",14,6,8,22,,,,2.0,6.0,,,4.0,3.0,2.0,2.0,13.0,5.0,3.0,,5.0,1.0,,100.0
9,"Noble, John",13,5,10,23,,,,2.0,3.0,2.0,1.0,4.0,1.0,,,6.0,15.0,,,,,,80.0
10,"Pendlebury, Scott",16,5,14,30,,1.0,,5.0,2.0,6.0,3.0,5.0,1.0,2.0,,10.0,19.0,,,2.0,2.0,2.0,85.0
3,"Quaynor, Isaac",12,3,4,16,,,,4.0,6.0,3.0,,4.0,2.0,1.0,,6.0,10.0,,,6.0,1.0,1.0,82.0
23,"Roughead, Jordan",5,4,3,8,,,,4.0,2.0,,,,,,,2.0,6.0,1.0,,7.0,,,100.0
21 ↑,"Ruscoe, Trey",1,1,1,2,1,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,34.0
22,"Sidebottom, Steele",14,5,6,20,1,,,2.0,1.0,4.0,2.0,4.0,,1.0,,7.0,14.0,,,2.0,,2.0,82.0
36,"Sier, Brayden",4,1,12,16,,,,3.0,,,4.0,1.0,,,,9.0,7.0,,,,,,62.0
24,"Thomas, Josh",5,3,2,7,,,,3.0,,1.0,,,1.0,,,3.0,5.0,,,2.0,,2.0,65.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,231,97,140,371,16,10.0,55.0,65.0,47.0,48.0,35.0,63.0,23.0,20.0,6.0,145.0,217.0,14.0,13.0,44.0,9.0,13.0,
Opposition,Opposition,214,91,132,346,13,7.0,21.0,41.0,31.0,59.0,40.0,49.0,20.0,23.0,,126.0,217.0,10.0,13.0,61.0,5.0,10.0,
