Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
30,"Allen, Scott",20y 222d,11 (2-0-9 18.18%),5 (0.45),←,
18,"Cameron, Leon",23y 7d,108 (56-2-50 52.78%),46 (0.43),←,
20,"Ellen, Shane",22y 251d,11 (5-0-6 45.45%),1 (0.09),←,
3,"Grant, Chris",22y 270d,122 (65-2-55 54.10%),261 (2.14),←,
1,"Grgic, Ilija",23y 188d,53 (30-1-22 57.55%),85 (1.60),←,
29,"Griffin, Daryl",19y 229d,14 (7-1-6 53.57%),,←,
37,"Hargraves, Daniel",19y 228d,17 (9-0-8 52.94%),23 (1.35),←,
10,"Hunter, Mark",30y 6d,121 (59-2-60 49.59%),9 (0.07),←,
6,"Johnson, Brad",19y 53d,30 (14-1-15 48.33%),17 (0.57),←,
4,"Kellett, Nigel",25y 265d,78 (41-1-36 53.21%),36 (0.46),←,
12,"Koster, Kym",22y 220d,38 (20-1-17 53.95%),13 (0.34),←,
39,"Liberatore, Tony",29y 210d,151 (83-2-66 55.63%),75 (0.50),←,
9,"Nicholson, Brad",21y 97d,29 (15-1-13 53.45%),1 (0.03),←,
44,"Osborne, Richard",31y 85d,244 (103-1-140 42.42%),535 (2.19),41 (22-1-18 54.88%),85 (2.07)
22,"Quill, Peter",26y 17d,44 (26-1-17 60.23%),15 (0.34),←,
34,"Sexton, Ben",22y 315d,39 (20-1-18 52.56%),32 (0.82),←,
5,"Smith, Rohan",22y 101d,53 (30-1-22 57.55%),25 (0.47),←,
17,"Standfield, Barry",25y 208d,95 (52-1-42 55.26%),37 (0.39),←,
25,"Watts, Jason",24y 42d,32 (17-0-15 53.13%),5 (0.16),←,
7,"West, Scott",20y 299d,63 (33-1-29 53.17%),36 (0.57),←,
15,"Wynd, Scott",25y 227d,126 (64-2-60 51.59%),24 (0.19),←,
Totals,Totals,23y 273d,1479 (751-22-706 50.78%),1281 (0.87),,
C,"Joyce, Alan",52y 323d,138 (90-1-47 65.58%),,45 (23-1-21 52.22%),
