Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
14,"Armstrong, Matt",26y 82d,98 (42-0-56 42.86%),50 (0.51),←,
32,"Baldwin, Jason",23y 196d,64 (26-0-38 40.63%),13 (0.20),←,
34,"Boyd, Brad",21y 285d,4 (3-0-1 75.00%),,←,
17,"Broderick, Paul",23y 139d,81 (34-0-47 41.98%),77 (0.95),←,
2,"Dundas, Matthew",21y 166d,64 (22-0-42 34.38%),54 (0.84),←,
18,"Dunstan, Michael",22y 71d,8 (5-0-3 62.50%),7 (0.88),←,
28,"Elliott, Jamie",20y 105d,34 (13-0-21 38.24%),3 (0.09),←,
7,"Gale, Michael",26y 152d,102 (41-0-61 40.20%),29 (0.28),←,
6,"Guard, Jeremy",22y 315d,30 (14-0-16 46.67%),8 (0.27),←,
26,"Johnston, David",24y 42d,50 (24-0-26 48.00%),7 (0.14),9 (3-0-6 33.33%),1 (0.11)
11,"Lynch, Alastair",24y 337d,108 (39-0-69 36.11%),122 (1.13),←,
29,"Lyon, Ross",26y 195d,98 (32-0-66 32.65%),90 (0.92),←,
30,"Manson, James",26y 201d,127 (74-3-50 59.45%),109 (0.86),7 (4-0-3 57.14%),3 (0.43)
25,"McCarthy, John",26y 53d,99 (42-1-56 42.93%),125 (1.26),7 (4-0-3 57.14%),24 (3.43)
4,"Paxman, Stephen",22y 169d,32 (13-0-19 40.63%),5 (0.16),←,
1,"Roos, Paul",29y 329d,239 (101-0-138 42.26%),255 (1.07),←,
3,"Seecamp, Marcus",20y 299d,30 (14-0-16 46.67%),4 (0.13),←,
12,"Wheildon, Darren",22y 192d,48 (19-0-29 39.58%),113 (2.35),←,
8,"Wynd, Jim",28y 192d,103 (40-0-63 38.83%),45 (0.44),←,
16,"Zanotti, Mark",28y 195d,108 (33-0-75 30.56%),13 (0.12),8 (5-0-3 62.50%),2 (0.25)
Totals,Totals,24y 167d,1527 (631-4-892 41.32%),1129 (0.74),,
C,"Shaw, Robert",38y 136d,52 (18-0-34 34.62%),,←,
