Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",27y 188d,189 (109-0-80 57.67%),167 (0.88),66 (25-0-41 37.88%),47 (0.71)
9,"Carr, Matthew",24y 250d,92 (31-1-60 34.24%),41 (0.45),64 (24-0-40 37.50%),39 (0.61)
33,"Farmer, Jeff",26y 73d,158 (72-0-86 45.57%),315 (1.99),40 (20-0-20 50.00%),56 (1.40)
14,"Grover, Antoni",23y 178d,57 (22-0-35 38.60%),6 (0.11),←,
42,"Haddrill, Robert",22y 220d,31 (16-0-15 51.61%),,←,
4,"Hasleby, Paul",22y 85d,86 (32-0-54 37.21%),64 (0.74),←,
43,"Hayden, Roger",22y 270d,26 (15-0-11 57.69%),1 (0.04),←,
11,"Headland, Des",22y 227d,74 (53-0-21 71.62%),70 (0.95),22 (13-0-9 59.09%),18 (0.82)
20,"Longmuir, Justin",22y 227d,79 (29-0-50 36.71%),106 (1.34),←,
21,"Longmuir, Troy",24y 103d,63 (20-0-43 31.75%),29 (0.46),46 (15-0-31 32.61%),26 (0.57)
8,"McManus, Shaun",27y 208d,146 (51-0-95 34.93%),69 (0.47),←,
18,"McPharlin, Luke",21y 278d,35 (19-0-16 54.29%),10 (0.29),23 (11-0-12 47.83%),7 (0.30)
34,"Medhurst, Paul",21y 268d,43 (22-0-21 51.16%),86 (2.00),←,
23,"Parker, Shane",30y 199d,162 (55-0-107 33.95%),9 (0.06),←,
29,"Pavlich, Matthew",21y 248d,84 (31-0-53 36.90%),89 (1.06),←,
12,"Polak, Graham",19y 81d,28 (17-0-11 60.71%),,←,
31,"Sandilands, Aaron",20y 273d,19 (13-0-6 68.42%),5 (0.26),←,
2,"Simmonds, Troy",25y 54d,82 (41-0-41 50.00%),31 (0.38),42 (21-0-21 50.00%),24 (0.57)
22,"Thornton, Scott",20y 359d,6 (4-0-2 66.67%),,←,
19,"Walker, James",24y 233d,98 (35-0-63 35.71%),10 (0.10),←,
37,"Webster, Luke",21y 103d,4 (2-0-2 50.00%),1 (0.25),←,
6,"Woods, Dion",21y 223d,39 (18-0-21 46.15%),4 (0.10),←,
Totals,Totals,23y 164d,1601 (707-1-893 44.16%),1113 (0.70),,
C,"Connolly, Chris",40y 164d,46 (24-0-22 52.17%),,45 (23-0-22 51.11%),
