Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",20,1,8,28,,,,1.0,,,,,1.0,2.0,,,,,,,,,
50,"Ballantyne, Jon",3,2,,3,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
35,"Baxter, Darren",7,2,2,9,,1.0,,,,,,,,,,,,,,,,,
6,"Campbell, Tony",2,,,2,,,,,,,,,1.0,1.0,,,,,,,,,
1,"Charles, Justin",6,4,3,9,,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
20,"Coleman, Glenn",4,5,10,14,1,,1.0,2.0,,,,,1.0,2.0,,,,,,,,,
11,"Corcoran, Shannon",17,5,6,23,,1.0,,,,,,,,1.0,,,,,,,,,
32,"Foster, Peter",11,7,2,13,,,,1.0,,,,,2.0,1.0,,,,,,,,,
29,"Grant, Chris",11,7,6,17,4,2.0,,1.0,,,,,,1.0,,,,,,,,,
7,"Hawkins, Doug",14,11,5,19,5,1.0,,1.0,,,,,2.0,,1.0,,,,,,,,
10,"Hunter, Mark",12,2,3,15,,,,2.0,,,,,1.0,,,,,,,,,,
4,"Kellett, Nigel",14,3,8,22,1,1.0,,,,,,,,2.0,2.0,,,,,,,,
21,"Kolyniuk, Steven",9,1,7,16,2,,,5.0,,,,,2.0,3.0,,,,,,,,,
39,"Liberatore, Tony",8,2,18,26,,,,4.0,,,,,1.0,2.0,,,,,,,,,
27,"Macpherson, Stephen",20,3,8,28,,,,2.0,,,,,2.0,,,,,,,,,,
31,"Smith, Rohan",11,1,7,18,3,1.0,,3.0,,,,,,1.0,,,,,,,,,
17,"Standfield, Barry",,,,,,,,,,,,,,,,,,,,,,,
8,"Toohey, Bernard",7,2,4,11,,,,,,,,,4.0,2.0,,,,,,,,,
24,"Wallis, Stephen",13,1,1,14,,,,4.0,,,,,2.0,2.0,,,,,,,,,
15,"Wynd, Scott",2,9,16,18,,,18.0,2.0,,,,,3.0,3.0,3.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,191,68,114,305,16,12.0,19.0,31.0,,,,,24.0,26.0,6.0,,,,,,,,
Opposition,Opposition,204,66,123,327,9,22.0,23.0,25.0,,,,,26.0,24.0,,,,,,,,,
