Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Febey, Matthew",9,2,5,14,,3.0,,4.0,,,,,1.0,,,,,,,,,,
21,"Febey, Steven",10,1,11,21,,,,4.0,,,,,3.0,,,,,,,,,,
24,"Gilbert, Phil",1,,,1,,,,,,,,,,,,,,,,,,,
14,"Grinter, Rod",4,1,2,6,1,,,,,,,,,1.0,,,,,,,,,
33,"Healy, Greg",4,,3,7,,2.0,,1.0,,,,,,,,,,,,,,,
30,"Hopgood, Paul",10,1,7,17,,,,,,,,,1.0,5.0,,,,,,,,,
13,"Jakovich, Allen",14,8,1,15,6,4.0,,2.0,,,,,1.0,2.0,,,,,,,,,
7,"Kowal, Darren",4,,5,9,1,,,,,,,,1.0,,,,,,,,,,
16,"Lovell, Andy",10,6,7,17,,,,4.0,,,,,,1.0,,,,,,,,,
17,"Lovett, Brett",9,2,5,14,,,,,,,,,1.0,,,,,,,,,,
6,"Lovett, Glenn",12,2,6,18,,1.0,,5.0,,,,,1.0,,,,,,,,,,
3,"Lyon, Garry",21,10,6,27,3,2.0,2.0,2.0,,,,,2.0,,1.0,,,,,,,,
38,"Neitz, David",3,2,4,7,,,1.0,1.0,,,,,,1.0,,,,,,,,,
29,"Obst, Andrew",9,3,16,25,1,,,1.0,,,,,2.0,1.0,,,,,,,,,
22,"Pike, Martin",5,,2,7,,,,1.0,,,,,,1.0,,,,,,,,,
41,"Rohde, Peter",11,2,10,21,,,,1.0,,,,,,1.0,,,,,,,,,
5,"Schwarz, David",6,4,8,14,,1.0,3.0,1.0,,,,,,,,,,,,,,,
11,"Stynes, Jim",16,8,15,31,,,21.0,,,,,,3.0,2.0,3.0,,,,,,,,
2,"Tingay, Stephen",10,6,12,22,1,1.0,,1.0,,,,,,3.0,,,,,,,,,
12,"Viney, Todd",6,2,13,19,1,,,1.0,,,,,2.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,174,60,138,312,14,17.0,27.0,29.0,,,,,18.0,20.0,4.0,,,,,,,,
Opposition,Opposition,198,90,103,301,13,10.0,10.0,45.0,,,,,20.0,18.0,2.0,,,,,,,,
