Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",28y 21d,182 (117-0-65 64.29%),109 (0.60),←,
12,"Blakey, John",34y 264d,327 (176-0-151 53.82%),106 (0.32),192 (124-0-68 64.58%),68 (0.35)
22,"Burton, Matthew",30y 330d,96 (35-0-61 36.46%),42 (0.44),26 (13-0-13 50.00%),10 (0.38)
18,"Carey, Wayne",29y 322d,231 (145-0-86 62.77%),640 (2.77),←,
23,"Clayton, Shane",22y 172d,70 (36-0-34 51.43%),21 (0.30),52 (34-0-18 65.38%),20 (0.38)
45,"Cochrane, Stuart",22y 268d,15 (6-0-9 40.00%),2 (0.13),←,
2,"Colbert, Leigh",25y 311d,121 (70-1-50 58.26%),58 (0.48),16 (8-0-8 50.00%),8 (0.50)
6,"Grant, Shannon",23y 360d,135 (84-1-50 62.59%),151 (1.12),77 (52-0-25 67.53%),113 (1.47)
14,"Harris, Daniel",18y 339d,3 (0-0-3 0.00%),1 (0.33),←,
29,"Harvey, Brent",22y 335d,90 (61-0-29 67.78%),101 (1.12),←,
34,"King, David",29y 38d,159 (105-0-54 66.04%),73 (0.46),←,
35,"Makepeace, Troy",22y 39d,25 (14-0-11 56.00%),7 (0.28),←,
5,"McCartney, Jason",27y 31d,148 (83-0-65 56.08%),53 (0.36),73 (49-0-24 67.12%),5 (0.07)
31,"McKernan, Corey",27y 116d,164 (111-0-53 67.68%),198 (1.21),←,
28,"Pickett, Byron",23y 246d,79 (53-0-26 67.09%),4 (0.05),←,
3,"Rawlings, Brady",19y 308d,23 (17-0-6 73.91%),6 (0.26),←,
26,"Rocca, Saverio",27y 145d,159 (70-2-87 44.65%),522 (3.28),3 (0-0-3 0.00%),8 (2.67)
7,"Simpson, Adam",25y 57d,118 (82-0-36 69.49%),40 (0.34),←,
9,"Sinclair, Jess",22y 231d,53 (13-0-40 24.53%),26 (0.49),3 (0-0-3 0.00%),
13,"Smith, Dylan",18y 270d,3 (0-0-3 0.00%),,←,
10,"Stevens, Anthony",29y 286d,221 (136-0-85 61.54%),101 (0.46),←,
36,"Watt, Shannon",20y 139d,9 (5-0-4 55.56%),1 (0.11),←,
Totals,Totals,25y 61d,2431 (1419-4-1008 58.37%),2262 (0.93),,
C,"Pagan, Denis",53y 202d,198 (129-0-69 65.15%),,←,
