Notes,Previous,Current
Port Adelaide's highest score,"129 v Geelong - R3,1997","188 v Hawthorn - R13,2005"
Port Adelaide's biggest win,"64 v Richmond - R6,1997","117 v Hawthorn - R13,2005"
