Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
20,"Brogan, Dean",27y 185d,76 (55-1-20 73.03%),30 (0.39),←,
8,"Burgoyne, Shaun",23y 239d,94 (69-0-25 73.40%),96 (1.02),←,
25,"Cassisi, Domenic",23y 268d,75 (50-1-24 67.33%),32 (0.43),←,
30,"Chaplin, Troy",20y 114d,18 (10-1-7 58.33%),2 (0.11),←,
35,"Cornes, Chad",26y 217d,152 (97-1-54 64.14%),130 (0.86),←,
18,"Cornes, Kane",23y 163d,105 (70-1-34 67.14%),49 (0.47),←,
17,"Dew, Stuart",26y 303d,171 (100-3-68 59.36%),240 (1.40),←,
33,"Ebert, Brett",22y 211d,44 (24-1-19 55.68%),47 (1.07),←,
5,"Lade, Brendon",29y 342d,160 (93-3-64 59.06%),137 (0.86),←,
34,"Lonie, Nathan",23y 105d,75 (26-0-49 34.67%),41 (0.55),11 (6-0-5 54.55%),6 (0.55)
22,"Mahoney, Josh",28y 229d,79 (41-0-38 51.90%),72 (0.91),49 (31-0-18 63.27%),62 (1.27)
16,"Pearce, Danyle",20y 71d,19 (10-0-9 52.63%),16 (0.84),←,
36,"Pettigrew, Michael",21y 93d,24 (12-0-12 50.00%),17 (0.71),←,
3,"Salopek, Steven",20y 361d,38 (24-0-14 63.16%),17 (0.45),←,
39,"Surjan, Jacob",20y 306d,15 (10-0-5 66.67%),4 (0.27),←,
23,"Symes, Brad",21y 102d,8 (5-0-3 62.50%),,←,
6,"Thomson, Adam",19y 300d,9 (7-0-2 77.78%),5 (0.56),←,
1,"Tredrea, Warren",27y 175d,188 (113-2-73 60.64%),424 (2.26),←,
2,"Wakelin, Darryl",31y 310d,237 (135-2-100 57.38%),12 (0.05),122 (82-1-39 67.62%),4 (0.03)
14,"Ware, Elijah",23y 64d,1 (1-0-0 100.00%),1 (1.00),←,
24,"White, Damon",22y 305d,29 (15-1-13 53.45%),26 (0.90),←,
21,"Wilson, Michael",29y 208d,161 (87-4-70 55.28%),47 (0.29),←,
Totals,Totals,24y 129d,1778 (1054-21-703 59.28%),1445 (0.81),,
C,"Williams, Mark",47y 300d,179 (110-2-67 62.01%),,←,
