Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",29y 53d,215 (122-0-93 56.74%),192 (0.89),92 (38-0-54 41.30%),72 (0.78)
21,"Black, Heath",25y 330d,128 (42-0-86 32.81%),57 (0.45),74 (20-0-54 27.03%),38 (0.51)
2,"Carr, Josh",24y 359d,110 (79-1-30 72.27%),62 (0.56),5 (2-0-3 40.00%),2 (0.40)
9,"Carr, Matthew",26y 115d,107 (38-1-68 35.98%),48 (0.45),79 (31-0-48 39.24%),46 (0.58)
10,"Cook, Troy",28y 254d,152 (68-0-84 44.74%),60 (0.39),109 (44-0-65 40.37%),49 (0.45)
33,"Farmer, Jeff",27y 303d,185 (85-0-100 45.95%),357 (1.93),67 (33-0-34 49.25%),98 (1.46)
14,"Grover, Antoni",25y 43d,77 (32-0-45 41.56%),11 (0.14),←,
4,"Hasleby, Paul",23y 315d,113 (45-0-68 39.82%),73 (0.65),←,
37,"Johnson, Michael",20y 185d,2 (1-0-1 50.00%),1 (0.50),←,
20,"Longmuir, Justin",24y 92d,105 (41-0-64 39.05%),135 (1.29),←,
8,"McManus, Shaun",29y 73d,171 (63-0-108 36.84%),76 (0.44),←,
18,"McPharlin, Luke",23y 143d,56 (29-0-27 51.79%),14 (0.25),44 (21-0-23 47.73%),11 (0.25)
34,"Medhurst, Paul",23y 133d,70 (35-0-35 50.00%),138 (1.97),←,
28,"Murphy, Ryan",19y 334d,6 (4-0-2 66.67%),3 (0.50),←,
23,"Parker, Shane",32y 64d,189 (68-0-121 35.98%),9 (0.05),←,
29,"Pavlich, Matthew",23y 113d,111 (44-0-67 39.64%),117 (1.05),←,
3,"Schammer, Byron",19y 306d,40 (23-0-17 57.50%),14 (0.35),←,
35,"Siegert, Andrew",23y 95d,32 (14-0-18 43.75%),3 (0.09),←,
13,"Smith, Dylan",22y 279d,16 (7-0-9 43.75%),3 (0.19),5 (2-0-3 40.00%),2 (0.40)
22,"Thornton, Scott",22y 224d,20 (10-0-10 50.00%),,←,
19,"Walker, James",26y 98d,125 (48-0-77 38.40%),13 (0.10),←,
1,"Webster, Luke",22y 333d,11 (4-0-7 36.36%),3 (0.27),←,
Totals,Totals,24y 293d,2041 (902-2-1137 44.19%),1389 (0.68),,
C,"Connolly, Chris",42y 29d,73 (37-0-36 50.68%),,72 (36-0-36 50.00%),
