Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Bowden, Joel",23y 331d,113 (61-0-52 53.98%),109 (0.96),←,
15,"Cameron, Leon",29y 258d,224 (122-3-99 55.13%),92 (0.41),52 (29-0-23 55.77%),24 (0.46)
9,"Campbell, Wayne",29y 237d,233 (111-1-121 47.85%),149 (0.64),←,
6,"Chaffey, Mark",25y 12d,89 (45-0-44 50.56%),21 (0.24),←,
43,"Ednie, Craig",20y 91d,3 (2-0-1 66.67%),1 (0.33),←,
14,"Fiora, Aaron",21y 29d,29 (19-0-10 65.52%),10 (0.34),←,
2,"Gaspar, Darren",25y 363d,153 (73-0-80 47.71%),14 (0.09),132 (66-0-66 50.00%),13 (0.10)
23,"Houlihan, Adam",24y 42d,69 (38-1-30 55.80%),79 (1.14),8 (4-0-4 50.00%),4 (0.50)
39,"Kellaway, Andrew",26y 176d,89 (47-0-42 52.81%),19 (0.21),←,
21,"King, Clinton",24y 55d,68 (33-0-35 48.53%),22 (0.32),37 (23-0-14 62.16%),9 (0.24)
33,"Knights, Matthew",31y 225d,271 (118-0-153 43.54%),140 (0.52),←,
27,"Krakouer, Andrew",19y 103d,9 (4-0-5 44.44%),8 (0.89),←,
5,"Ottens, Brad",22y 113d,87 (45-0-42 51.72%),113 (1.30),←,
8,"Pettifer, Kayne",20y 116d,10 (7-0-3 70.00%),9 (0.90),←,
18,"Rodan, David",18y 222d,8 (4-0-4 50.00%),9 (1.13),←,
4,"Rogers, Matthew",28y 174d,166 (92-1-73 55.72%),154 (0.93),←,
10,"Stafford, Greg",27y 264d,134 (65-1-68 48.88%),61 (0.46),4 (3-0-1 75.00%),3 (0.75)
19,"Sziller, Steven",29y 154d,148 (71-1-76 48.31%),41 (0.28),30 (18-0-12 60.00%),3 (0.10)
32,"Tivendale, Greg",23y 29d,67 (35-0-32 52.24%),50 (0.75),←,
29,"Torney, Jason",24y 336d,104 (56-1-47 54.33%),12 (0.12),←,
41,"Vardy, Royce",22y 15d,26 (15-0-11 57.69%),1 (0.04),←,
36,"Zantuck, Ty",20y 92d,18 (8-0-10 44.44%),3 (0.17),←,
Totals,Totals,24y 173d,2118 (1071-9-1038 50.57%),1117 (0.53),,
C,"Frawley, Danny",38y 252d,55 (31-0-24 56.36%),,←,
