Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
41,"Adkins, Damien",19y 83d,4 (4-0-0 100.00%),5 (1.25),←,
49,"Betheras, Rupert",24y 130d,20 (7-0-13 35.00%),8 (0.40),←,
5,"Buckley, Nathan",27y 250d,146 (55-2-89 38.36%),151 (1.03),126 (51-2-73 41.27%),130 (1.03)
17,"Burns, Scott",25y 100d,89 (35-1-53 39.89%),37 (0.42),←,
19,"Davis, Nick",20y 2d,18 (5-0-13 27.78%),6 (0.33),←,
25,"Fraser, Josh",18y 87d,4 (4-0-0 100.00%),1 (0.25),←,
9,"Freeborn, Glenn",27y 55d,81 (46-0-35 56.79%),44 (0.54),26 (8-0-18 30.77%),17 (0.65)
31,"Johnson, Ben",18y 362d,4 (4-0-0 100.00%),4 (1.00),←,
30,"Kinnear, Ben",21y 34d,16 (7-0-9 43.75%),3 (0.19),←,
33,"Lane, Tyson",23y 220d,40 (14-0-26 35.00%),42 (1.05),21 (5-0-16 23.81%),23 (1.10)
18,"Licuria, Paul",22y 88d,27 (8-0-19 29.63%),10 (0.37),17 (6-0-11 35.29%),8 (0.47)
24,"Lockyer, Tarkyn",20y 154d,19 (8-0-11 42.11%),4 (0.21),←,
11,"OBree, Shane",21y 17d,23 (13-0-10 56.52%),8 (0.35),4 (4-0-0 100.00%),5 (1.25)
2,"Orchard, Mark",23y 365d,72 (35-1-36 49.31%),12 (0.17),31 (11-1-19 37.10%),7 (0.23)
35,"Prestigiacomo, Simon",22y 61d,52 (18-0-34 34.62%),2 (0.04),←,
3,"Richardson, Mark",27y 153d,103 (44-1-58 43.20%),72 (0.70),←,
23,"Rocca, Anthony",22y 230d,82 (34-0-48 41.46%),103 (1.26),60 (23-0-37 38.33%),92 (1.53)
36,"Rocca, Saverio",26y 133d,148 (68-2-78 46.62%),500 (3.38),←,
20,"Tarrant, Chris",19y 196d,27 (10-0-17 37.04%),22 (0.81),←,
27,"Ukovic, Andrew",21y 130d,23 (15-0-8 65.22%),8 (0.35),4 (4-0-0 100.00%),
14,"Watson, Shane",26y 44d,134 (60-1-73 45.15%),99 (0.74),←,
10,"Williams, Paul",26y 364d,172 (78-2-92 45.93%),205 (1.19),←,
Totals,Totals,22y 364d,1304 (572-10-722 43.87%),1346 (1.03),,
C,"Malthouse, Mick",46y 228d,382 (227-4-151 59.95%),,4 (4-0-0 100.00%),
