Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ambrose, Patrick",3,1,6,9,,,2.0,8.0,,1.0,,2.0,,,,4.0,4.0,1.0,,3.0,,,78.0
14 ↑,"Ashby, Jason",1,1,6,7,,,,4.0,,,,,,,,3.0,4.0,,,3.0,,,65.0
12,"Baguley, Mark",13,5,5,18,,,,5.0,6.0,1.0,,4.0,2.0,,,7.0,11.0,,,4.0,,,93.0
24 ↓,"Browne, Alex",2,4,4,6,,,,1.0,,,,,,,,,6.0,,,2.0,,,30.0
6,"Daniher, Joe",8,6,5,13,5,,4.0,3.0,,1.0,1.0,4.0,1.0,2.0,2.0,7.0,7.0,3.0,5.0,3.0,,,84.0
19,"Edwards, Shaun",6,2,3,9,2,,,5.0,,4.0,1.0,,,,,3.0,5.0,1.0,1.0,1.0,,,82.0
35,"Gleeson, Martin",7,3,9,16,,,,2.0,1.0,5.0,2.0,2.0,2.0,1.0,,4.0,12.0,,,5.0,1.0,,89.0
9,"Goddard, Brendon",11,1,18,29,,,1.0,4.0,4.0,1.0,9.0,2.0,,,,13.0,16.0,,,1.0,2.0,1.0,81.0
42,"Gwilt, James",15,5,8,23,,1.0,,1.0,8.0,4.0,1.0,2.0,,,,7.0,14.0,,,5.0,,,93.0
21,"Heppell, Dyson",10,1,9,19,1,,5.0,7.0,2.0,1.0,4.0,1.0,4.0,,,13.0,6.0,,1.0,4.0,,,90.0
1,"Hibberd, Michael",11,6,5,16,,,,1.0,4.0,5.0,1.0,,,,,6.0,9.0,2.0,,3.0,,1.0,83.0
26,"Hooker, Cale",13,6,5,18,,3.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,,10.0,11.0,1.0,1.0,4.0,1.0,,90.0
40,"Howlett, Ben",6,2,4,10,1,,,7.0,,2.0,1.0,2.0,,,,7.0,3.0,1.0,1.0,4.0,,,83.0
18,"Hurley, Michael",21,9,3,24,,1.0,,2.0,12.0,1.0,,4.0,,2.0,,7.0,11.0,3.0,,6.0,1.0,,90.0
33,"Laverde, Jayden",2,2,4,6,,,,4.0,1.0,,,1.0,,1.0,,2.0,4.0,1.0,,,,,77.0
44,"McKernan, Shaun",11,3,7,18,,,20.0,,2.0,2.0,2.0,4.0,,3.0,,7.0,12.0,,1.0,4.0,,,81.0
20,"Merrett, Jackson",12,4,7,19,,,,6.0,,3.0,2.0,5.0,1.0,1.0,,7.0,11.0,,,,,2.0,79.0
7,"Merrett, Zach",10,1,11,21,,,,8.0,1.0,2.0,5.0,2.0,,1.0,,11.0,10.0,,,1.0,,,75.0
10,"OBrien, Nick",7,3,12,19,,1.0,,5.0,,1.0,4.0,2.0,,,,12.0,7.0,,,,,2.0,90.0
5,"Stanton, Brent",21,4,9,30,1,,,4.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,7.0,23.0,1.0,1.0,2.0,1.0,,85.0
25,"Steinberg, Ariel",6,3,6,12,,,,1.0,1.0,2.0,,4.0,,3.0,,5.0,6.0,1.0,,2.0,,1.0,95.0
11,"Zaharakis, David",8,,5,13,,,,5.0,,2.0,2.0,,,,,3.0,9.0,,,,,,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,204,72,151,355,10,9.0,33.0,84.0,45.0,45.0,40.0,49.0,13.0,19.0,5.0,145.0,201.0,15.0,11.0,57.0,6.0,7.0,
Opposition,Opposition,188,60,131,319,7,18.0,71.0,81.0,33.0,58.0,45.0,39.0,19.0,13.0,1.0,156.0,162.0,12.0,10.0,56.0,4.0,3.0,
