Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",23y 73d,62 (13-1-48 21.77%),45 (0.73),←,
15,"Anderson, Noah",20y 66d,23 (7-1-15 32.61%),4 (0.17),←,
10,"Ballard, Charlie",21y 275d,53 (11-1-41 21.70%),1 (0.02),←,
3,"Bowes, Jack",23y 88d,65 (15-1-49 23.85%),13 (0.20),←,
29,"Burgess, Chris",25y 149d,18 (4-0-14 22.22%),7 (0.39),←,
25,"Collins, Sam",26y 313d,46 (13-1-32 29.35%),,32 (10-1-21 32.81%),
19,"Corbett, Josh",25y 1d,18 (2-1-15 13.89%),11 (0.61),←,
4,"Ellis, Brandon",27y 264d,198 (115-2-81 58.59%),65 (0.33),22 (6-1-15 29.55%),7 (0.32)
50,"Farrar, Jy",24y 138d,3 (1-0-2 33.33%),1 (0.33),←,
26,"Flanders, Sam",19y 274d,8 (2-1-5 31.25%),2 (0.25),←,
46,"Graham, Caleb",20y 224d,13 (2-0-11 15.38%),,←,
1,"Greenwood, Hugh",29y 49d,74 (37-2-35 51.35%),41 (0.55),23 (7-1-15 32.61%),5 (0.22)
39,"Holman, Nick",25y 330d,61 (14-0-47 22.95%),27 (0.44),52 (13-0-39 25.00%),27 (0.52)
34,"King, Ben",20y 291d,37 (7-1-29 20.27%),60 (1.62),←,
23,"Lemmens, Sean",26y 173d,98 (25-2-71 26.53%),25 (0.26),←,
13,"Lukosius, Jack",20y 258d,44 (10-1-33 23.86%),8 (0.18),←,
17,"Markov, Oleg",24y 351d,29 (14-0-15 48.28%),4 (0.14),6 (2-0-4 33.33%),1 (0.17)
11,"Miller, Touk",25y 61d,123 (27-2-94 22.76%),32 (0.26),←,
27,"Powell, Wil",21y 241d,41 (11-1-29 28.05%),11 (0.27),←,
22,"Rankine, Izak",21y 1d,18 (4-1-13 25.00%),19 (1.06),←,
6,"Sexton, Alex",27y 142d,139 (35-0-104 25.18%),135 (0.97),←,
24,"Swallow, David",28y 156d,160 (40-1-119 25.31%),74 (0.46),←,
14,"Weller, Lachie",25y 60d,109 (27-1-81 25.23%),40 (0.37),62 (13-1-48 21.77%),23 (0.37)
Totals,Totals,24y 46d,1440 (436-21-983 30.28%),625 (0.43),,
C,"Dew, Stuart",41y 249d,67 (14-1-52 21.64%),,←,
