Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
14,"Armstrong, Matt",27y 39d,113 (49-0-64 43.36%),63 (0.56),←,
19,"Bain, David",27y 342d,89 (19-1-69 21.91%),44 (0.49),3 (2-0-1 66.67%),
32,"Baldwin, Jason",24y 153d,75 (33-0-42 44.00%),16 (0.21),←,
5,"Barker, John",19y 49d,2 (2-0-0 100.00%),,←,
34,"Boyd, Brad",22y 242d,17 (10-0-7 58.82%),9 (0.53),←,
18,"Dunstan, Michael",23y 28d,23 (12-0-11 52.17%),24 (1.04),←,
6,"Guard, Jeremy",23y 272d,43 (20-0-23 46.51%),12 (0.28),←,
17,"Hawking, Simon",21y 35d,10 (7-0-3 70.00%),,←,
10,"Hogg, Jeff",27y 176d,147 (43-0-104 29.25%),314 (2.14),3 (2-0-1 66.67%),8 (2.67)
2,"Johnson, Chris",17y 314d,2 (2-0-0 100.00%),1 (0.50),←,
26,"Johnston, David",24y 364d,62 (29-0-33 46.77%),7 (0.11),21 (8-0-13 38.10%),1 (0.05)
29,"Lyon, Ross",27y 152d,112 (39-0-73 34.82%),104 (0.93),←,
30,"Manson, James",27y 158d,140 (79-3-58 57.50%),115 (0.82),20 (9-0-11 45.00%),9 (0.45)
11,"McGregor, Anthony",21y 278d,11 (7-0-4 63.64%),6 (0.55),←,
7,"Molloy, Jarrod",17y 332d,2 (2-0-0 100.00%),2 (1.00),←,
4,"Paxman, Stephen",23y 126d,44 (18-0-26 40.91%),9 (0.20),←,
1,"Roos, Paul",30y 286d,250 (107-0-143 42.80%),256 (1.02),←,
21,"Sporn, Kieran",27y 224d,75 (45-1-29 60.67%),66 (0.88),3 (2-0-1 66.67%),1 (0.33)
22,"Stretch, Steven",30y 94d,167 (92-1-74 55.39%),71 (0.43),3 (2-0-1 66.67%),
8,"Wynd, Jim",29y 149d,118 (47-0-71 39.83%),55 (0.47),←,
16,"Zanotti, Mark",29y 152d,122 (39-0-83 31.97%),16 (0.13),22 (11-0-11 50.00%),5 (0.23)
Totals,Totals,24y 363d,1624 (701-6-917 43.17%),1190 (0.73),,
C,"Shaw, Robert",39y 93d,67 (25-0-42 37.31%),,←,
