Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
33,"Adams, Marcus",22y 271d,1 (1-0-0 100.00%),,←,
24,"Biggs, Shane",24y 235d,17 (10-0-7 58.82%),3 (0.18),11 (7-0-4 63.64%),3 (0.27)
4,"Bontempelli, Marcus",20y 124d,38 (19-0-19 50.00%),33 (0.87),←,
5,"Boyd, Matthew",33y 213d,259 (123-2-134 47.88%),83 (0.32),←,
17,"Boyd, Tom",20y 218d,24 (12-0-12 50.00%),25 (1.04),15 (9-0-6 60.00%),17 (1.13)
6,"Dahlhaus, Luke",23y 219d,95 (39-0-56 41.05%),86 (0.91),←,
35,"Daniel, Caleb",19y 264d,11 (7-0-4 63.64%),7 (0.64),←,
20,"Dunkley, Josh",19y 78d,1 (1-0-0 100.00%),1 (1.00),←,
7,"Hunter, Lachie",21y 105d,37 (16-0-21 43.24%),16 (0.43),←,
39,"Johannisen, Jason",23y 140d,48 (20-0-28 41.67%),13 (0.27),←,
21,"Liberatore, Tom",23y 316d,78 (26-0-52 33.33%),19 (0.24),←,
11,"Macrae, Jack",21y 237d,56 (26-0-30 46.43%),18 (0.32),←,
16,"McLean, Toby",20y 56d,5 (4-0-1 80.00%),3 (0.60),←,
38,"Morris, Dale",33y 89d,208 (111-2-95 53.85%),3 (0.01),←,
2,"Murphy, Robert",33y 292d,293 (129-4-160 44.71%),173 (0.59),←,
42,"Picken, Liam",29y 239d,151 (70-0-81 46.36%),46 (0.30),←,
23,"Roughead, Jordan",25y 145d,89 (36-0-53 40.45%),17 (0.19),←,
25,"Stevens, Koby",24y 283d,63 (25-0-38 39.68%),29 (0.46),52 (21-0-31 40.38%),27 (0.52)
9,"Stringer, Jake",21y 337d,51 (23-0-28 45.10%),99 (1.94),←,
1,"Suckling, Matt",27y 246d,103 (76-0-27 73.79%),52 (0.50),1 (1-0-0 100.00%),1 (1.00)
3,"Wallis, Mitch",23y 155d,77 (31-0-46 40.26%),30 (0.39),←,
10,"Wood, Easton",26y 205d,88 (43-0-45 48.86%),12 (0.14),←,
Totals,Totals,24y 220d,1793 (848-8-937 47.30%),768 (0.43),,
C,"Beveridge, Luke",45y 217d,24 (15-0-9 62.50%),,←,
