Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
15,"Amon, Karl",24y 6d,59 (30-0-29 50.85%),31 (0.53),←,
10,"Boak, Travis",31y 24d,264 (126-1-137 47.92%),171 (0.65),←,
26,"Bonner, Riley",22y 171d,42 (25-0-17 59.52%),8 (0.19),←,
5,"Broadbent, Matthew",29y 24d,171 (77-1-93 45.32%),52 (0.30),←,
3,"Burton, Ryan",22y 206d,63 (33-1-29 53.17%),9 (0.14),16 (8-0-8 50.00%),4 (0.25)
33,"Byrne-Jones, Darcy",23y 339d,86 (45-0-41 52.33%),6 (0.07),←,
22,"Dixon, Charlie",28y 336d,135 (58-1-76 43.33%),212 (1.57),70 (39-0-31 55.71%),118 (1.69)
28,"Drew, Willem",20y 328d,10 (5-0-5 50.00%),2 (0.20),←,
21,"Duursma, Xavier",19y 49d,20 (11-0-9 55.00%),11 (0.55),←,
9,"Gray, Robbie",31y 148d,218 (105-0-113 48.17%),318 (1.46),←,
46,"Gray, Sam",27y 205d,96 (53-0-43 55.21%),83 (0.86),←,
8,"Hartlett, Hamish",29y 11d,164 (77-1-86 47.26%),73 (0.45),←,
43,"Houston, Dan",22y 105d,60 (34-0-26 56.67%),10 (0.17),←,
42,"Jonas, Tom",28y 228d,139 (71-1-67 51.44%),1 (0.01),←,
29,"Lycett, Scott",26y 333d,93 (57-0-36 61.29%),51 (0.55),18 (9-0-9 50.00%),6 (0.33)
13,"Marshall, Todd",20y 321d,20 (15-0-5 75.00%),22 (1.10),←,
12,"McKenzie, Trent",27y 144d,108 (30-0-78 27.78%),22 (0.20),2 (1-0-1 50.00%),
11,"Rockliff, Tom",29y 184d,190 (66-0-124 34.74%),96 (0.51),36 (20-0-16 55.56%),9 (0.25)
20,"Rozee, Connor",19y 215d,22 (11-0-11 50.00%),29 (1.32),←,
4,"Ryder, Paddy",31y 164d,243 (121-4-118 50.62%),171 (0.70),73 (42-0-31 57.53%),54 (0.74)
39,"Westhoff, Justin",32y 328d,268 (128-1-139 47.95%),303 (1.13),←,
16,"Wines, Ollie",24y 322d,141 (77-0-64 54.61%),63 (0.45),←,
Totals,Totals,26y 41d,2612 (1255-11-1346 48.05%),1744 (0.67),,
C,"Hinkley, Ken",52y 329d,159 (88-0-71 55.35%),,←,
