Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
8,"Bassett, Nathan",29y 249d,170 (95-0-75 55.88%),22 (0.13),←,
44,"Bock, Nathan",23y 146d,36 (22-0-14 61.11%),13 (0.36),←,
10,"Bode, Matthew",27y 45d,102 (56-0-46 54.90%),85 (0.83),73 (45-0-28 61.64%),60 (0.82)
4,"Clarke, Matthew",32y 329d,243 (121-2-120 50.21%),34 (0.14),113 (59-0-54 52.21%),15 (0.13)
11,"Doughty, Michael",27y 8d,95 (62-0-33 65.26%),28 (0.29),←,
9,"Edwards, Tyson",30y 7d,238 (131-0-107 55.04%),152 (0.64),←,
36,"Goodwin, Simon",29y 230d,189 (110-0-79 58.20%),112 (0.59),←,
37,"Hentschel, Trent",23y 231d,59 (38-0-21 64.41%),79 (1.34),←,
18,"Johncock, Graham",23y 296d,104 (62-0-42 59.62%),79 (0.76),←,
20,"Maric, Ivan",20y 221d,8 (7-0-1 87.50%),1 (0.13),←,
3,"Massie, Kris",26y 75d,104 (61-0-43 58.65%),21 (0.20),61 (35-0-26 57.38%),9 (0.15)
39,"Mattner, Martin",24y 7d,74 (47-0-27 63.51%),13 (0.18),←,
16,"McGregor, Ken",25y 196d,136 (76-0-60 55.88%),92 (0.68),←,
23,"McLeod, Andrew",30y 9d,257 (141-0-116 54.86%),240 (0.93),←,
40,"Porplyzia, Jason",21y 259d,8 (6-0-2 75.00%),9 (1.13),←,
33,"Reilly, Brent",22y 274d,63 (42-0-21 66.67%),28 (0.44),←,
25,"Rutten, Ben",23y 77d,55 (39-0-16 70.91%),5 (0.09),←,
12,"Shirley, Robert",26y 65d,94 (56-0-38 59.57%),20 (0.21),←,
27,"Stevens, Scott",24y 210d,52 (24-1-27 47.12%),32 (0.62),27 (14-0-13 51.85%),15 (0.56)
5,"Thompson, Scott",23y 152d,81 (50-0-31 61.73%),63 (0.78),42 (32-0-10 76.19%),46 (1.10)
7,"van Berlo, Nathan",20y 68d,25 (19-0-6 76.00%),3 (0.12),←,
17,"Welsh, Scott",27y 249d,139 (82-0-57 58.99%),240 (1.73),103 (56-0-47 54.37%),210 (2.04)
Totals,Totals,25y 221d,2332 (1347-3-982 57.76%),1371 (0.59),,
C,"Craig, Neil",50y 214d,53 (37-0-16 69.81%),,←,
