Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
21,"Aliir, Aliir",28y 194d,108 (58-0-50 53.70%),5 (0.05),44 (29-0-15 65.91%),
14,"Bergman, Miles",21y 151d,34 (21-0-13 61.76%),13 (0.38),←,
3,"Burton, Ryan",26y 46d,118 (69-1-48 58.90%),13 (0.11),71 (44-0-27 61.97%),8 (0.11)
9,"Butters, Zak",22y 191d,69 (41-0-28 59.42%),41 (0.59),←,
33,"Byrne-Jones, Darcy",27y 179d,151 (88-0-63 58.28%),7 (0.05),←,
22,"Dixon, Charlie",32y 176d,190 (97-1-92 51.32%),313 (1.65),125 (78-0-47 62.40%),219 (1.75)
28,"Drew, Willem",24y 168d,57 (34-0-23 59.65%),10 (0.18),←,
7,"Duursma, Xavier",22y 254d,58 (40-0-18 68.97%),27 (0.47),←,
31,"Evans, Francis",21y 207d,8 (8-0-0 100.00%),3 (0.38),1 (1-0-0 100.00%),
13,"Fantasia, Orazio",27y 185d,97 (47-1-49 48.97%),139 (1.43),17 (13-0-4 76.47%),28 (1.65)
6,"Farrell, Kane",24y 1d,50 (30-0-20 60.00%),38 (0.76),←,
19,"Georgiades, Mitch",21y 171d,48 (31-0-17 64.58%),64 (1.33),←,
18,"Horne-Francis, Jason",19y 270d,18 (3-0-15 16.67%),5 (0.28),1 (1-0-0 100.00%),1 (1.00)
5,"Houston, Dan",25y 310d,122 (76-0-46 62.30%),25 (0.20),←,
1,"Jonas, Tom",32y 68d,204 (114-1-89 56.13%),1 (0.00),←,
34,"Jones, Lachie",20y 343d,21 (12-0-9 57.14%),5 (0.24),←,
29,"Lycett, Scott",30y 173d,133 (86-0-47 64.66%),61 (0.46),58 (38-0-20 65.52%),16 (0.28)
4,"Marshall, Todd",24y 161d,77 (52-0-25 67.53%),106 (1.38),←,
12,"McKenzie, Trent",30y 349d,147 (57-0-90 38.78%),23 (0.16),41 (28-0-13 68.29%),1 (0.02)
2,"Powell-Pepper, Sam",25y 69d,115 (70-0-45 60.87%),73 (0.63),←,
15,"Rioli, Willie",27y 287d,52 (32-0-20 61.54%),63 (1.21),1 (1-0-0 100.00%),3 (3.00)
20,"Rozee, Connor",23y 55d,82 (50-0-32 60.98%),78 (0.95),←,
16,"Wines, Ollie",28y 162d,204 (119-0-85 58.33%),88 (0.43),←,
Totals,Totals,25y 229d,2163 (1235-4-924 57.10%),1201 (0.56),,
C,"Hinkley, Ken",56y 169d,224 (132-0-92 58.93%),,←,
