Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",10,8,9,19,,,,4.0,,4.0,,7.0,,1.0,,4.0,16.0,,1.0,,,4.0,91.0
15,"Anderson, Noah",18,5,8,26,1,,,4.0,2.0,3.0,6.0,5.0,,1.0,,7.0,16.0,,,1.0,,1.0,88.0
31,"Andrew, Mac",9,6,3,12,,,,1.0,3.0,2.0,,5.0,,2.0,,4.0,9.0,3.0,1.0,1.0,,1.0,88.0
30,"Casboult, Levi",,1,1,1,,,,2.0,,,,6.0,,3.0,,1.0,,1.0,1.0,1.0,,,80.0
1,"Chol, Mabior",6,4,,6,,1.0,,,,3.0,1.0,2.0,,1.0,,2.0,4.0,,,2.0,,,86.0
25,"Collins, Sam",9,5,5,14,,,,2.0,4.0,,1.0,2.0,2.0,,,6.0,9.0,,,9.0,,,95.0
5,"Davies, Alex",5,2,5,10,1,,,2.0,,1.0,2.0,5.0,2.0,4.0,,8.0,3.0,,,2.0,,,55.0
12 ↓,"Day, Sam",4,2,,4,1,,1.0,1.0,,2.0,,,2.0,,,3.0,2.0,,1.0,1.0,,,41.0
4,"Ellis, Brandon",27,9,5,32,,,,3.0,9.0,1.0,3.0,,,,,8.0,15.0,,,,1.0,,90.0
50,"Farrar, Jy",13,8,5,18,,,,1.0,6.0,1.0,1.0,1.0,,,,4.0,14.0,,,5.0,3.0,,91.0
26,"Flanders, Sam",5,3,5,10,1,,,5.0,,1.0,,4.0,1.0,1.0,,3.0,8.0,,,,,,72.0
46,"Graham, Caleb",7,5,3,10,,,,3.0,3.0,,1.0,,2.0,,,4.0,5.0,,,5.0,,,90.0
36,"Hollands, Elijah",9,4,9,18,1,,,1.0,1.0,2.0,3.0,2.0,1.0,,,8.0,11.0,1.0,,1.0,,,83.0
23,"Lemmens, Sean",7,2,4,11,,,,4.0,4.0,,1.0,1.0,2.0,1.0,,7.0,5.0,,,2.0,,,90.0
13,"Lukosius, Jack",11,7,4,15,1,1.0,,1.0,2.0,1.0,,4.0,,,,4.0,10.0,1.0,2.0,3.0,,,76.0
44,"Macpherson, Darcy",11,4,5,16,,,,2.0,6.0,,,5.0,,1.0,,4.0,8.0,,,,,,65.0
11,"Miller, Touk",28,8,8,36,,,,3.0,6.0,7.0,5.0,6.0,3.0,2.0,2.0,14.0,24.0,,,2.0,,,93.0
22,"Rankine, Izak",9,3,5,14,2,1.0,,4.0,,2.0,1.0,3.0,2.0,1.0,,6.0,7.0,,,,,,81.0
41,"Rosas, Malcolm",6,5,5,11,,,,8.0,1.0,4.0,1.0,4.0,,1.0,,5.0,6.0,,,2.0,,,75.0
18,"Rowell, Matt",8,3,1,9,,,,9.0,3.0,1.0,4.0,2.0,,1.0,,5.0,4.0,,,1.0,,,71.0
20 ↑,"Sharp, Jeremy",2,2,2,4,,1.0,,,,1.0,,1.0,,1.0,,2.0,2.0,,1.0,,,,32.0
24,"Swallow, David",15,5,4,19,,,,1.0,1.0,6.0,4.0,3.0,1.0,,,8.0,11.0,,,1.0,,,79.0
28,"Witts, Jarrod",5,4,11,16,1,,41.0,2.0,1.0,,4.0,3.0,1.0,1.0,,9.0,8.0,,1.0,4.0,,,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,224,105,107,331,9,5.0,42.0,63.0,52.0,42.0,38.0,71.0,19.0,22.0,2.0,126.0,197.0,6.0,8.0,43.0,4.0,6.0,
Opposition,Opposition,241,107,155,396,18,11.0,26.0,59.0,32.0,72.0,38.0,61.0,22.0,19.0,4.0,152.0,247.0,13.0,18.0,60.0,3.0,13.0,
