North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
3,"Anderson, Jed",22y 221d,20 (10-0-10 50.00%),6 (0.30),10 (3-0-7 30.00%),2 (0.20)
18,"Atley, Shaun",23y 363d,132 (73-0-59 55.30%),16 (0.12),←,
50,"Brown, Ben",23y 295d,55 (36-0-19 65.45%),91 (1.65),←,
10,"Cunnington, Ben",25y 72d,145 (80-0-65 55.17%),58 (0.40),←,
15,"Dal Santo, Nick",32y 201d,322 (184-5-133 57.92%),156 (0.48),62 (39-0-23 62.90%),16 (0.26)
38,"Daw, Majak",25y 183d,25 (10-0-15 40.00%),26 (1.04),←,
14,"Dumont, Trent",21y 72d,20 (6-0-14 30.00%),7 (0.35),←,
11,"Firrito, Michael",32y 288d,275 (140-2-133 51.27%),29 (0.11),←,
43,"Gibson, Sam",30y 106d,108 (63-0-45 58.33%),46 (0.43),←,
22,"Goldstein, Todd",28y 71d,171 (92-1-78 54.09%),90 (0.53),←,
6,"Hansen, Lachlan",28y 24d,138 (69-1-68 50.36%),76 (0.55),←,
29,"Harvey, Brent",38y 119d,432 (235-3-194 54.75%),518 (1.20),←,
4,"Higgins, Shaun",28y 190d,162 (80-1-81 49.69%),178 (1.10),33 (22-0-11 66.67%),50 (1.52)
34,"Macmillan, Jamie",24y 353d,104 (57-0-47 54.81%),41 (0.39),←,
21,"McDonald, Luke",21y 214d,52 (33-0-19 63.46%),3 (0.06),←,
17,"Mullett, Aaron",24y 200d,67 (35-0-32 52.24%),26 (0.39),←,
20,"Petrie, Drew",33y 331d,316 (159-3-154 50.79%),428 (1.35),←,
9,"Swallow, Andrew",29y 100d,208 (107-1-100 51.68%),76 (0.37),←,
25,"Tarrant, Robbie",27y 138d,84 (44-0-40 52.38%),41 (0.49),←,
12,"Thomas, Lindsay",28y 195d,196 (98-2-96 50.51%),320 (1.63),←,
8,"Wells, Daniel",31y 220d,243 (125-2-116 51.85%),150 (0.62),←,
7,"Ziebell, Jack",25y 195d,147 (75-0-72 51.02%),90 (0.61),←,
Totals,Totals,27y 238d,3422 (1811-21-1590 52.92%),2472 (0.72),,
C,"Scott, Brad",40y 130d,157 (85-0-72 54.14%),,←,
