Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",28y 348d,183 (81-2-100 44.81%),63 (0.34),152 (78-2-72 51.97%),51 (0.34)
14,"Cameron, Darcy",27y 47d,51 (25-1-25 50.00%),45 (0.88),50 (25-1-24 51.00%),45 (0.90)
46,"Cox, Mason",31y 173d,92 (52-0-40 56.52%),99 (1.08),←,
25,"Crisp, Jack",28y 336d,198 (100-2-96 51.01%),60 (0.30),180 (93-2-85 52.22%),50 (0.28)
7,"Daicos, Josh",23y 281d,75 (39-1-35 52.67%),40 (0.53),←,
35,"Daicos, Nick",19y 243d,23 (16-0-7 69.57%),6 (0.26),←,
2,"de Goey, Jordan",26y 172d,135 (70-2-63 52.59%),172 (1.27),←,
5,"Elliott, Jamie",30y 13d,153 (89-2-62 58.82%),223 (1.46),←,
33,"Ginnivan, Jack",19y 268d,26 (17-0-9 65.38%),42 (1.62),←,
32,"Hoskin-Elliott, Will",29y 1d,179 (81-2-96 45.81%),157 (0.88),127 (69-2-56 55.12%),115 (0.91)
38,"Howe, Jeremy",32y 66d,217 (86-2-129 40.09%),91 (0.42),117 (64-2-51 55.56%),11 (0.09)
40,"Johnson, Ash",24y 332d,7 (5-0-2 71.43%),15 (2.14),←,
15,"Kreuger, Nathan",23y 70d,6 (3-0-3 50.00%),4 (0.67),4 (2-0-2 50.00%),4 (1.00)
1,"Lipinski, Patrick",24y 48d,79 (47-0-32 59.49%),39 (0.49),23 (16-0-7 69.57%),9 (0.39)
37,"Maynard, Brayden",25y 348d,159 (79-2-78 50.31%),17 (0.11),←,
31,"McCreery, Beau",21y 137d,33 (18-0-15 54.55%),23 (0.70),←,
41,"Mihocek, Brody",29y 211d,100 (57-1-42 57.50%),162 (1.62),←,
30,"Moore, Darcy",26y 221d,124 (59-2-63 48.39%),67 (0.54),←,
28,"Murphy, Nathan",22y 262d,31 (19-0-12 61.29%),1 (0.03),←,
9,"Noble, John",25y 162d,67 (35-1-31 52.99%),4 (0.06),←,
10,"Pendlebury, Scott",34y 239d,356 (212-3-141 59.97%),185 (0.52),←,
3,"Quaynor, Isaac",22y 231d,57 (28-0-29 49.12%),3 (0.05),←,
22,"Sidebottom, Steele",31y 244d,287 (171-4-112 60.28%),185 (0.64),←,
Totals,Totals,26y 194d,2638 (1389-27-1222 52.65%),1703 (0.65),,
C,"McRae, Craig",48y 346d,23 (16-0-7 69.57%),,←,
