Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
5,"Buckley, Nathan",29y 23d,181 (66-2-113 37.02%),187 (1.03),161 (62-2-97 39.13%),166 (1.03)
17,"Burns, Scott",26y 238d,111 (41-1-69 37.39%),47 (0.42),←,
8,"Clement, James",24y 348d,102 (35-0-67 34.31%),44 (0.43),18 (9-0-9 50.00%),6 (0.33)
1,"Davis, Leon",20y 62d,31 (12-0-19 38.71%),27 (0.87),←,
19,"Davis, Nick",21y 141d,49 (17-0-32 34.69%),51 (1.04),←,
31,"Dimattina, Andrew",23y 282d,25 (9-0-16 36.00%),5 (0.20),←,
25,"Fraser, Josh",19y 225d,40 (17-0-23 42.50%),25 (0.63),←,
9,"Freeborn, Glenn",28y 193d,110 (57-0-53 51.82%),60 (0.55),55 (19-0-36 34.55%),33 (0.60)
6,"Holland, Brodie",21y 227d,55 (18-0-37 32.73%),61 (1.11),19 (10-0-9 52.63%),24 (1.26)
28,"Kinnear, Ben",22y 172d,35 (12-0-23 34.29%),4 (0.11),←,
33,"Lane, Tyson",24y 358d,59 (23-0-36 38.98%),48 (0.81),40 (14-0-26 35.00%),29 (0.73)
18,"Licuria, Paul",23y 226d,65 (21-0-44 32.31%),16 (0.25),55 (19-0-36 34.55%),14 (0.25)
24,"Lockyer, Tarkyn",21y 292d,56 (21-0-35 37.50%),27 (0.48),←,
37,"Lonie, Ryan",18y 167d,20 (10-0-10 50.00%),10 (0.50),←,
7,"Molloy, Jarrod",25y 98d,140 (55-1-84 39.64%),181 (1.29),20 (10-0-10 50.00%),23 (1.15)
11,"OBree, Shane",22y 156d,61 (26-0-35 42.62%),19 (0.31),42 (17-0-25 40.48%),16 (0.38)
35,"Prestigiacomo, Simon",23y 199d,88 (30-0-58 34.09%),2 (0.02),←,
38,"Rintoul, Chad",27y 18d,71 (35-1-35 50.00%),30 (0.42),9 (3-0-6 33.33%),4 (0.44)
23,"Rocca, Anthony",24y 3d,116 (45-0-71 38.79%),165 (1.42),94 (34-0-60 36.17%),154 (1.64)
15,"Steinfort, Carl",24y 139d,81 (41-0-40 50.62%),23 (0.28),16 (8-0-8 50.00%),4 (0.25)
20,"Tarrant, Chris",20y 334d,63 (23-0-40 36.51%),95 (1.51),←,
14,"Wakelin, Shane",27y 6d,113 (51-2-60 46.02%),19 (0.17),19 (10-0-9 52.63%),
Totals,Totals,23y 261d,1672 (665-7-1000 39.77%),1146 (0.69),,
C,"Malthouse, Mick",48y 1d,420 (240-4-176 57.62%),,42 (17-0-25 40.48%),
