Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
14,"Calthorpe, David",21y 346d,41 (24-1-16 59.76%),33 (0.80),←,
9,"Cockatoo-Collins, Che",20y 146d,27 (15-2-10 59.26%),42 (1.56),←,
36,"Cummings, Scott",21y 192d,22 (13-1-8 61.36%),42 (1.91),←,
7,"Daniher, Chris",29y 120d,82 (46-3-33 57.93%),20 (0.24),←,
20,"Darcy, Tim",31y 195d,186 (104-2-80 56.45%),86 (0.46),10 (8-2-0 90.00%),3 (0.30)
38,"Denham, Sean",26y 91d,113 (65-3-45 58.85%),49 (0.43),69 (41-3-25 61.59%),28 (0.41)
31,"Fletcher, Dustin",20y 83d,45 (30-2-13 68.89%),5 (0.11),←,
29,"Grenvold, David",29y 145d,105 (68-3-34 66.19%),17 (0.16),←,
39,"Hardwick, Damien",22y 345d,27 (16-1-10 61.11%),6 (0.22),←,
5,"Hird, James",22y 175d,57 (34-3-20 62.28%),100 (1.75),←,
33,"Lewfatt, Shawn",18y 140d,3 (3-0-0 100.00%),2 (0.67),←,
13,"Long, Michael",25y 301d,119 (77-2-40 65.55%),85 (0.71),←,
2,"Mercuri, Mark",21y 158d,52 (33-2-17 65.38%),68 (1.31),←,
24,"Misiti, Joe",20y 262d,58 (35-3-20 62.93%),24 (0.41),←,
43,"Morgan, Danny",20y 343d,5 (3-1-1 70.00%),2 (0.40),←,
41,"OConnor, Ryan",21y 32d,18 (10-2-6 61.11%),15 (0.83),←,
10,"ODonnell, Gary",30y 78d,174 (107-3-64 62.36%),65 (0.37),←,
3,"Salmon, Paul",30y 190d,204 (121-2-81 59.80%),498 (2.44),←,
19,"Somerville, Peter",27y 21d,93 (57-2-34 62.37%),79 (0.85),←,
4,"Wanganeen, Gavin",22y 41d,99 (56-3-40 58.08%),48 (0.48),←,
35,"Young, Barry",25y 33d,79 (34-1-44 43.67%),45 (0.57),26 (15-1-10 59.62%),22 (0.85)
Totals,Totals,24y 94d,1609 (951-42-616 59.11%),1331 (0.83),,
C,"Sheedy, Kevin",47y 217d,346 (223-4-119 65.03%),,←,
