Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
17,"Beams, Dayne",22y 208d,81 (61-2-18 76.54%),88 (1.09),←,
11,"Blair, Jarryd",22y 146d,57 (45-1-11 79.82%),49 (0.86),←,
16,"Brown, Nathan",23y 265d,66 (42-1-23 64.39%),6 (0.09),←,
32,"Cloke, Travis",25y 186d,172 (112-2-58 65.70%),280 (1.63),←,
31,"Dawes, Chris",24y 114d,69 (53-1-15 77.54%),82 (1.19),←,
4,"Didak, Alan",29y 205d,212 (134-1-77 63.44%),271 (1.28),←,
1,"Fasolo, Alex",20y 91d,35 (26-0-9 74.29%),43 (1.23),←,
26,"Johnson, Ben",31y 155d,230 (136-1-93 59.35%),69 (0.30),←,
18,"Jolly, Darren",30y 306d,226 (132-4-90 59.29%),117 (0.52),60 (46-2-12 78.33%),47 (0.78)
7,"Krakouer, Andrew",29y 216d,127 (55-0-72 43.31%),142 (1.12),25 (21-0-4 84.00%),40 (1.60)
8,"Lumumba, Heritier",25y 297d,157 (106-2-49 68.15%),17 (0.11),←,
5,"Maxwell, Nick",29y 96d,179 (115-2-62 64.80%),28 (0.16),←,
10,"Pendlebury, Scott",24y 244d,146 (99-2-45 68.49%),94 (0.64),←,
20,"Reid, Ben",23y 131d,71 (49-2-20 70.42%),5 (0.07),←,
39,"Shaw, Heath",26y 285d,151 (97-2-52 64.90%),36 (0.24),←,
22,"Sidebottom, Steele",21y 249d,83 (63-2-18 77.11%),66 (0.80),←,
28,"Sinclair, Ben",20y 342d,23 (16-0-7 69.57%),16 (0.70),←,
36,"Swan, Dane",28y 195d,194 (122-2-70 63.40%),155 (0.80),←,
2,"Tarrant, Chris",31y 355d,266 (129-0-137 48.50%),366 (1.38),194 (101-0-93 52.06%),306 (1.58)
13,"Thomas, Dale",25y 78d,150 (100-2-48 67.33%),118 (0.79),←,
34,"Toovey, Alan",25y 168d,107 (77-2-28 72.90%),8 (0.07),←,
21,"Wellingham, Sharrod",24y 62d,90 (66-2-22 74.44%),55 (0.61),←,
Totals,Totals,25y 299d,2892 (1835-33-1024 63.45%),2111 (0.73),,
C,"Buckley, Nathan",40y 43d,23 (16-0-7 69.57%),,←,
