Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",18,4,1,19,,,,3.0,5.0,2.0,,5.0,1.0,1.0,,4.0,13.0,,,4.0,1.0,,97.0
16,"Brown, Leigh",3,1,4,7,,,,1.0,4.0,,,1.0,2.0,,,4.0,3.0,,,9.0,,,100.0
2,"Colbert, Leigh",18,12,11,29,,,,2.0,8.0,2.0,1.0,3.0,2.0,1.0,,6.0,21.0,1.0,,6.0,2.0,,100.0
24,"Firrito, Michael",9,4,4,13,,,,6.0,,4.0,,3.0,1.0,1.0,,4.0,9.0,,,3.0,1.0,,90.0
6,"Grant, Shannon",12,1,8,20,,1.0,,,,7.0,2.0,4.0,1.0,2.0,,7.0,11.0,,,1.0,,1.0,91.0
31,"Hale, David",7,3,2,9,1,1.0,8.0,4.0,,1.0,2.0,1.0,3.0,,,7.0,3.0,1.0,1.0,3.0,,,80.0
39,"Harding, Leigh",16,7,3,19,3,4.0,,1.0,1.0,6.0,,3.0,,1.0,,4.0,13.0,,2.0,,1.0,,98.0
4,"Harris, Daniel",8,2,14,22,1,,,4.0,,1.0,6.0,4.0,2.0,,,14.0,8.0,,,1.0,,,63.0
29,"Harvey, Brent",19,6,9,28,3,,,2.0,4.0,5.0,2.0,2.0,1.0,1.0,,6.0,22.0,,2.0,1.0,1.0,,88.0
21,"Jones, Corey",10,2,4,14,,,,2.0,,5.0,3.0,3.0,1.0,,,9.0,5.0,,,2.0,,,89.0
35,"Makepeace, Troy",5,1,3,8,,,,,3.0,,,1.0,1.0,1.0,,4.0,5.0,,,3.0,,,96.0
20,"Petrie, Drew",8,2,5,13,,1.0,14.0,1.0,2.0,4.0,4.0,2.0,3.0,1.0,,7.0,6.0,,,4.0,,1.0,77.0
25,"Picioane, Lance",4,1,3,7,,,,1.0,,1.0,1.0,2.0,1.0,1.0,,4.0,3.0,,,,,1.0,34.0
30,"Pratt, Daniel",11,5,2,13,,,,1.0,5.0,5.0,,1.0,,1.0,,,13.0,,1.0,6.0,2.0,,86.0
3,"Rawlings, Brady",9,2,11,20,,,,3.0,2.0,3.0,4.0,2.0,4.0,,,11.0,11.0,,,2.0,,1.0,96.0
26,"Rocca, Saverio",4,4,2,6,1,2.0,,,,1.0,,,,,,2.0,4.0,,1.0,2.0,,,49.0
32,"Sansbury, Eddie",5,2,14,19,,,,1.0,,1.0,5.0,3.0,,2.0,,10.0,8.0,,,,2.0,1.0,73.0
7,"Simpson, Adam",17,6,15,32,,,2.0,5.0,3.0,5.0,3.0,6.0,2.0,1.0,2.0,17.0,15.0,1.0,,4.0,4.0,1.0,82.0
12,"Stevens, Michael",8,2,3,11,,,,1.0,3.0,2.0,,2.0,,,,,10.0,,,2.0,,,86.0
23,"Thompson, Nathan",10,3,,10,5,3.0,,,,1.0,,3.0,3.0,2.0,,4.0,6.0,1.0,3.0,1.0,,1.0,100.0
1,"Watson, Ashley",1,,2,3,,,,,,,1.0,1.0,,,,2.0,1.0,,,,,,26.0
36,"Watt, Shannon",3,3,3,6,,,,,1.0,,,,,,,3.0,4.0,,,10.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,205,73,123,328,14,13.0,24.0,38.0,41.0,56.0,34.0,52.0,28.0,16.0,2.0,129.0,194.0,4.0,10.0,64.0,14.0,7.0,
Opposition,Opposition,227,117,110,337,15,11.0,31.0,29.0,40.0,59.0,33.0,62.0,16.0,28.0,4.0,123.0,209.0,11.0,10.0,61.0,14.0,7.0,
