Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
26,"Baldwin, Kaine",19y 336d,3 (0-0-3 0.00%),1 (0.33),←,
6,"Caldwell, Jye",21y 215d,21 (4-0-17 19.05%),5 (0.24),10 (1-0-9 10.00%),4 (0.40)
13,"Cox, Nik",20y 106d,27 (10-0-17 37.04%),10 (0.37),←,
12,"Cutler, Tom",27y 70d,92 (27-1-64 29.89%),40 (0.43),26 (9-1-16 36.54%),8 (0.31)
2,"Draper, Sam",23y 215d,28 (7-0-21 25.00%),6 (0.21),←,
22,"Durham, Sam",20y 296d,13 (5-0-8 38.46%),2 (0.15),←,
35,"Guelfi, Matt",24y 260d,70 (34-1-35 49.29%),19 (0.27),←,
21,"Heppell, Dyson",29y 352d,198 (93-2-103 47.47%),62 (0.31),←,
8,"Hobbs, Ben",18y 227d,3 (0-0-3 0.00%),,←,
29,"Kelly, Jake",27y 100d,117 (51-1-65 44.02%),1 (0.01),7 (1-0-6 14.29%),
15,"Laverde, Jayden",26y 19d,76 (32-0-44 42.11%),37 (0.49),←,
37,"Martin, Nic",21y 28d,6 (1-0-5 16.67%),8 (1.33),←,
1,"McGrath, Andrew",23y 333d,100 (48-1-51 48.50%),18 (0.18),←,
7,"Merrett, Zach",26y 210d,169 (71-2-96 42.60%),51 (0.30),←,
3,"Parish, Darcy",24y 280d,123 (50-1-72 41.06%),47 (0.38),←,
16,"Perkins, Archie",20y 36d,28 (12-0-16 42.86%),17 (0.61),←,
27,"Redman, Mason",24y 248d,67 (30-1-36 45.52%),9 (0.13),←,
31,"Reid, Zach",20y 60d,2 (0-0-2 0.00%),,←,
14,"Ridley, Jordan",23y 193d,55 (22-1-32 40.91%),,←,
9,"Shiel, Dylan",29y 53d,186 (79-4-103 43.55%),80 (0.43),51 (20-1-30 40.20%),16 (0.31)
25,"Stringer, Jake",28y 6d,161 (81-0-80 50.31%),286 (1.78),72 (33-0-39 45.83%),126 (1.75)
45,"Waterman, Alec",25y 255d,18 (9-0-9 50.00%),25 (1.39),←,
20,"Wright, Peter",25y 235d,94 (24-0-70 25.53%),131 (1.39),28 (11-0-17 39.29%),46 (1.64)
Totals,Totals,24y 21d,1657 (690-15-952 41.64%),855 (0.52),,
C,"Rutten, Ben",38y 338d,29 (11-0-18 37.93%),,←,
