Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
19,"Bishop, Matthew",28y 267d,92 (57-1-34 62.50%),6 (0.07),74 (50-1-23 68.24%),2 (0.03)
20,"Brogan, Dean",25y 111d,33 (26-0-7 78.79%),9 (0.27),←,
7,"Burgoyne, Peter",26y 65d,134 (76-2-56 57.46%),152 (1.13),←,
8,"Burgoyne, Shaun",21y 165d,44 (36-0-8 81.82%),66 (1.50),←,
9,"Carr, Josh",23y 340d,88 (62-1-25 71.02%),50 (0.57),←,
25,"Cassisi, Domenic",21y 194d,20 (17-0-3 85.00%),3 (0.15),←,
26,"Cochrane, Stuart",25y 258d,74 (41-0-33 55.41%),14 (0.19),24 (18-0-6 75.00%),3 (0.13)
35,"Cornes, Chad",24y 143d,100 (63-1-36 63.50%),107 (1.07),←,
18,"Cornes, Kane",21y 89d,46 (34-0-12 73.91%),17 (0.37),←,
17,"Dew, Stuart",24y 229d,116 (66-2-48 57.76%),184 (1.59),←,
33,"Ebert, Brett",20y 137d,1 (1-0-0 100.00%),,←,
29,"Kingsley, Adam",28y 227d,127 (72-2-53 57.48%),27 (0.21),←,
5,"Lade, Brendon",27y 268d,102 (58-2-42 57.84%),69 (0.68),←,
3,"Montgomery, Brett",30y 307d,151 (97-2-52 64.90%),91 (0.60),91 (57-1-33 63.19%),37 (0.41)
36,"Pettigrew, Michael",19y 18d,2 (2-0-0 100.00%),,←,
31,"Salopek, Steven",18y 287d,11 (9-0-2 81.82%),4 (0.36),←,
6,"Schofield, Jarrad",29y 64d,171 (106-1-64 62.28%),113 (0.66),108 (67-1-40 62.50%),79 (0.73)
39,"Surjan, Jacob",18y 232d,2 (2-0-0 100.00%),,←,
28,"Thurstans, Toby",23y 233d,12 (9-0-3 75.00%),7 (0.58),←,
16,"Tredrea, Warren",25y 101d,132 (78-1-53 59.47%),274 (2.08),←,
4,"Wanganeen, Gavin",30y 290d,259 (153-5-101 60.04%),165 (0.64),132 (80-2-50 61.36%),102 (0.77)
21,"Wilson, Michael",27y 134d,115 (59-3-53 52.61%),35 (0.30),←,
Totals,Totals,24y 255d,1832 (1124-23-685 61.35%),1393 (0.76),,
C,"Williams, Mark",45y 226d,120 (74-1-45 62.08%),,←,
