Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",21y 140d,31 (11-1-19 37.10%),16 (0.52),←,
18,"Cameron, Leon",17y 252d,6 (4-0-2 66.67%),4 (0.67),←,
20,"Coleman, Glenn",29y 98d,130 (71-1-58 55.00%),69 (0.53),5 (3-0-2 60.00%),5 (1.00)
4,"Davies, Darren",24y 210d,32 (14-0-18 43.75%),28 (0.88),←,
12,"Eppelstun, Greg",23y 177d,66 (32-1-33 49.24%),1 (0.02),←,
32,"Foster, Peter",29y 344d,113 (60-2-51 53.98%),50 (0.44),106 (57-2-47 54.72%),48 (0.45)
29,"Grant, Chris",17y 150d,7 (4-0-3 57.14%),24 (3.43),←,
30,"Harrington, Tim",26y 235d,41 (14-1-26 35.37%),2 (0.05),13 (5-0-8 38.46%),
7,"Hawkins, Doug",30y 7d,229 (90-3-136 39.96%),104 (0.45),←,
43,"Hogg, Matthew",21y 142d,42 (16-1-25 39.29%),3 (0.07),←,
21,"Kolyniuk, Steven",19y 311d,17 (8-1-8 50.00%),16 (0.94),←,
39,"Liberatore, Tony",24y 90d,25 (15-0-10 60.00%),16 (0.64),←,
11,"McGuinness, Tony",26y 6d,94 (42-2-50 45.74%),93 (0.99),←,
40,"Moloney, Troy",23y 359d,28 (13-1-14 48.21%),4 (0.14),←,
14,"Reynolds, Keenan",21y 125d,6 (4-0-2 66.67%),,←,
13,"Svilar, Michael",20y 246d,5 (3-0-2 60.00%),,←,
16,"Wallace, Terry",31y 150d,235 (139-2-94 59.57%),117 (0.50),50 (21-1-28 43.00%),14 (0.28)
24,"Wallis, Stephen",25y 197d,155 (78-2-75 50.97%),40 (0.26),←,
6,"Wigney, Stuart",21y 23d,29 (12-1-16 43.10%),7 (0.24),←,
15,"Wynd, Scott",20y 107d,26 (10-0-16 38.46%),6 (0.23),←,
Totals,Totals,23y 296d,1317 (640-19-658 48.60%),600 (0.46),,
C,"Wheeler, Terry",35y 60d,7 (4-0-3 57.14%),,←,
