Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
11,"Bennell, Harley",21y 318d,64 (17-0-47 26.56%),80 (1.25),←,
12,"Day, Sam",21y 344d,62 (20-0-42 32.26%),42 (0.68),←,
23,"Dixon, Charlie",23y 327d,49 (16-0-33 32.65%),53 (1.08),←,
15,"Gorringe, Daniel",22y 75d,20 (4-0-16 20.00%),6 (0.30),←,
5,"Harbrow, Jarrod",26y 29d,146 (64-1-81 44.18%),44 (0.30),76 (24-0-52 31.58%),23 (0.30)
39,"Herbert, Louis",20y 50d,3 (1-0-2 33.33%),,←,
28,"Kolodjashnij, Kade",19y 7d,16 (7-0-9 43.75%),5 (0.31),←,
40,"Lemmens, Sean",19y 287d,16 (9-0-7 56.25%),1 (0.06),←,
37,"Lonergan, Jesse",19y 275d,11 (4-0-7 36.36%),1 (0.09),←,
19,"Lynch, Tom",21y 289d,58 (18-0-40 31.03%),74 (1.28),←,
4,"Martin, Jack",19y 199d,9 (4-0-5 44.44%),6 (0.67),←,
32,"Matera, Brandon",22y 158d,53 (17-0-36 32.08%),56 (1.06),←,
18,"McKenzie, Trent",22y 135d,75 (23-0-52 30.67%),20 (0.27),←,
1,"OMeara, Jaeger",20y 174d,42 (18-0-24 42.86%),27 (0.64),←,
10,"Prestia, Dion",21y 308d,71 (20-0-51 28.17%),20 (0.28),←,
35,"Rischitelli, Michael",28y 220d,176 (67-3-106 38.92%),76 (0.43),65 (18-0-47 27.69%),29 (0.45)
6,"Sexton, Alex",20y 256d,22 (7-0-15 31.82%),9 (0.41),←,
25,"Stanley, Danny",26y 179d,78 (24-0-54 30.77%),38 (0.49),73 (23-0-50 31.51%),38 (0.52)
3,"Sumner, Timmy",19y 311d,16 (6-0-10 37.50%),6 (0.38),←,
24,"Swallow, David",21y 270d,71 (21-0-50 29.58%),35 (0.49),←,
48,"Tape, Seb",22y 10d,31 (4-0-27 12.90%),1 (0.03),←,
16,"Thompson, Rory",23y 157d,51 (17-0-34 33.33%),7 (0.14),←,
Totals,Totals,22y 33d,1140 (388-4-748 34.04%),607 (0.53),,
C,"McKenna, Guy",45y 97d,86 (24-0-62 27.91%),,←,
