Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
4,"Ah Chee, Callum",27y 221d,153 (87-2-64 57.52%),88 (0.58),108 (79-2-27 74.07%),64 (0.59)
31,"Andrews, Harris",28y 158d,222 (113-2-107 51.35%),11 (0.05),←,
43,"Answerth, Noah",25y 285d,81 (57-1-23 70.99%),2 (0.02),←,
10,"Ashcroft, Levi",18y 151d,10 (7-1-2 75.00%),4 (0.40),←,
8,"Ashcroft, Will",21y 12d,41 (31-1-9 76.83%),14 (0.34),←,
33,"Bailey, Zac",25y 237d,150 (101-1-48 67.67%),160 (1.07),←,
23,"Cameron, Charlie",30y 317d,237 (153-3-81 65.19%),412 (1.74),164 (106-2-56 65.24%),325 (1.98)
18,"Coleman, Keidean",25y 48d,66 (43-0-23 65.15%),14 (0.21),←,
5,"Dunkley, Josh",28y 129d,177 (108-2-67 61.58%),75 (0.42),61 (43-2-16 72.13%),10 (0.16)
3,"Fletcher, Jaspa",21y 83d,51 (36-2-13 72.55%),16 (0.31),←,
32,"Fort, Darcy",31y 285d,40 (27-1-12 68.75%),18 (0.45),32 (22-1-9 70.31%),12 (0.38)
27,"Gardiner, Darcy",29y 238d,169 (78-1-90 46.45%),13 (0.08),←,
30,"Hipwood, Eric",27y 247d,187 (106-2-79 57.22%),282 (1.51),←,
35,"Lester, Ryan",32y 265d,217 (106-2-109 49.31%),47 (0.22),←,
1,"Lohmann, Kai",22y 12d,40 (28-2-10 72.50%),37 (0.93),←,
6,"McCluggage, Hugh",27y 76d,192 (113-2-77 59.38%),120 (0.63),←,
26,"McKenna, Conor",29y 51d,127 (71-2-54 56.69%),29 (0.23),48 (36-1-11 76.04%),9 (0.19)
13,"Morris, Logan",20y 8d,28 (21-2-5 78.57%),40 (1.43),←,
9,"Neale, Lachie",31y 359d,282 (165-2-115 58.87%),132 (0.47),147 (100-2-45 68.71%),65 (0.44)
40,"Payne, Jack",25y 215d,77 (50-2-25 66.23%),2 (0.03),←,
16,"Rayner, Cam",25y 209d,150 (94-2-54 63.33%),143 (0.95),←,
44,"Wilmot, Darcy",21y 138d,66 (46-2-18 71.21%),7 (0.11),←,
15,"Zorko, Dayne",36y 98d,287 (141-2-144 49.48%),236 (0.82),←,
Totals,Totals,26y 246d,3050 (1782-39-1229 58.43%),1902 (0.62),,
C,"Fagan, Chris",63y 329d,199 (117-2-80 59.30%),,←,
