Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
24,"Biggs, Shane",25y 34d,39 (25-0-14 64.10%),7 (0.18),33 (22-0-11 66.67%),7 (0.21)
4,"Bontempelli, Marcus",20y 289d,60 (34-0-26 56.67%),55 (0.92),←,
5,"Boyd, Matthew",34y 12d,279 (138-2-139 49.82%),83 (0.30),←,
17,"Boyd, Tom",21y 17d,35 (19-0-16 54.29%),34 (0.97),26 (16-0-10 61.54%),26 (1.00)
12,"Cordy, Zaine",19y 317d,8 (5-0-3 62.50%),5 (0.63),←,
6,"Dahlhaus, Luke",24y 18d,112 (51-0-61 45.54%),95 (0.85),←,
35,"Daniel, Caleb",20y 63d,31 (21-0-10 67.74%),15 (0.48),←,
29,"Dickson, Tory",28y 348d,76 (37-0-39 48.68%),130 (1.71),←,
20,"Dunkley, Josh",19y 243d,14 (10-0-4 71.43%),8 (0.57),←,
30,"Hamling, Joel",23y 152d,20 (13-0-7 65.00%),,←,
7,"Hunter, Lachie",21y 270d,59 (31-0-28 52.54%),26 (0.44),←,
39,"Johannisen, Jason",23y 305d,61 (29-0-32 47.54%),18 (0.30),←,
46,"Jong, Lin",23y 96d,39 (18-0-21 46.15%),25 (0.64),←,
21,"Liberatore, Tom",24y 115d,95 (37-0-58 38.95%),32 (0.34),←,
11,"Macrae, Jack",22y 36d,74 (38-0-36 51.35%),18 (0.24),←,
38,"Morris, Dale",33y 254d,227 (124-2-101 55.07%),3 (0.01),←,
42,"Picken, Liam",30y 38d,173 (85-0-88 49.13%),57 (0.33),←,
23,"Roughead, Jordan",25y 310d,110 (51-0-59 46.36%),23 (0.21),←,
14,"Smith, Clay",23y 120d,44 (16-0-28 36.36%),28 (0.64),←,
9,"Stringer, Jake",22y 136d,70 (37-0-33 52.86%),132 (1.89),←,
1,"Suckling, Matt",28y 45d,118 (87-0-31 73.73%),58 (0.49),16 (12-0-4 75.00%),7 (0.44)
10,"Wood, Easton",27y 4d,104 (55-0-49 52.88%),14 (0.13),←,
Totals,Totals,24y 246d,1848 (961-4-883 52.00%),866 (0.47),,
C,"Beveridge, Luke",46y 16d,46 (30-0-16 65.22%),,←,
