Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",25,9,4,29,1,,,1.0,3.0,1.0,2.0,1.0,,,1.0,7.0,22.0,,1.0,4.0,5.0,,97.0
16,"Brown, Leigh",8,9,9,17,,2.0,2.0,4.0,2.0,2.0,,1.0,1.0,1.0,,8.0,10.0,,,1.0,1.0,,91.0
2,"Colbert, Leigh",10,9,11,21,,,1.0,2.0,3.0,,2.0,,,,,6.0,14.0,,1.0,3.0,4.0,1.0,100.0
24,"Firrito, Michael",8,5,6,14,,1.0,,,4.0,5.0,1.0,2.0,,2.0,,6.0,9.0,,,7.0,2.0,,93.0
6,"Grant, Shannon",13,2,12,25,,1.0,,1.0,2.0,5.0,4.0,2.0,4.0,,,11.0,16.0,,,2.0,,2.0,91.0
31,"Hale, David",,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,14.0
39,"Harding, Leigh",4,2,3,7,,,,3.0,,3.0,1.0,3.0,,,,4.0,3.0,,,1.0,,,83.0
4,"Harris, Daniel",13,7,17,30,,,,4.0,,4.0,9.0,2.0,3.0,2.0,3.0,16.0,16.0,,,2.0,,1.0,87.0
29,"Harvey, Brent",16,3,15,31,2,,,2.0,1.0,3.0,1.0,2.0,2.0,1.0,,6.0,22.0,,,4.0,1.0,,86.0
21,"Jones, Corey",18,10,4,22,1,4.0,2.0,1.0,1.0,6.0,1.0,3.0,4.0,,,8.0,15.0,2.0,2.0,2.0,,1.0,94.0
35,"Makepeace, Troy",14,9,7,21,1,1.0,,3.0,6.0,6.0,1.0,2.0,,,,6.0,14.0,,1.0,3.0,1.0,2.0,100.0
20,"Petrie, Drew",11,6,2,13,2,,13.0,3.0,1.0,3.0,2.0,2.0,,1.0,,2.0,10.0,,2.0,5.0,,2.0,87.0
30,"Pratt, Daniel",6,4,4,10,,,,1.0,2.0,,,2.0,1.0,1.0,,1.0,9.0,,1.0,5.0,,,44.0
3,"Rawlings, Brady",10,5,10,20,2,,,2.0,,3.0,1.0,2.0,,1.0,,2.0,17.0,,1.0,5.0,2.0,1.0,95.0
26,"Rocca, Saverio",7,6,2,9,3,,1.0,,1.0,3.0,1.0,4.0,1.0,2.0,,3.0,8.0,,4.0,,1.0,1.0,98.0
32,"Sansbury, Eddie",5,2,7,12,,,,3.0,,,2.0,1.0,,1.0,,5.0,7.0,,1.0,2.0,2.0,1.0,64.0
7,"Simpson, Adam",16,4,10,26,1,,1.0,7.0,,6.0,11.0,6.0,2.0,1.0,2.0,14.0,10.0,1.0,,2.0,2.0,1.0,86.0
9,"Sinclair, Jess",13,5,2,15,,,,,3.0,2.0,1.0,2.0,2.0,1.0,,5.0,12.0,1.0,,1.0,4.0,,72.0
12,"Stevens, Michael",7,3,2,9,,,,,1.0,2.0,,,,,,,9.0,,,2.0,1.0,,42.0
23,"Thompson, Nathan",9,6,,9,3,1.0,,1.0,,2.0,,3.0,1.0,1.0,,3.0,6.0,,3.0,3.0,,,100.0
36,"Watt, Shannon",7,4,3,10,,,,1.0,2.0,,,2.0,,2.0,,2.0,7.0,1.0,,3.0,,,100.0
8,"Wells, Daniel",13,4,6,19,,,1.0,2.0,1.0,6.0,5.0,,,,,5.0,12.0,,,3.0,5.0,,78.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,233,114,136,369,16,13.0,22.0,41.0,33.0,62.0,45.0,43.0,21.0,18.0,6.0,120.0,248.0,5.0,17.0,60.0,31.0,13.0,
Opposition,Opposition,184,75,146,330,10,8.0,46.0,37.0,40.0,42.0,28.0,48.0,18.0,21.0,,105.0,223.0,4.0,6.0,47.0,13.0,6.0,
