Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
35,"Bond, Chris",26y 184d,71 (34-1-36 48.59%),19 (0.27),49 (26-1-22 54.08%),11 (0.22)
32,"Bourke, David",19y 201d,14 (10-0-4 71.43%),1 (0.07),←,
22,"Bower, Nathan",23y 51d,43 (20-1-22 47.67%),16 (0.37),←,
17,"Broderick, Paul",25y 207d,132 (63-1-68 48.11%),107 (0.81),39 (24-1-14 62.82%),27 (0.69)
21,"Bulluss, Paul",25y 187d,44 (15-1-28 35.23%),10 (0.23),←,
9,"Campbell, Wayne",22y 309d,90 (37-1-52 41.67%),54 (0.60),←,
15,"Charles, Justin",24y 304d,45 (24-2-19 55.56%),24 (0.53),9 (6-1-2 72.22%),
10,"Daffy, Nick",22y 79d,41 (25-1-15 62.20%),46 (1.12),←,
14,"Dear, Greg",32y 103d,174 (124-1-49 71.55%),24 (0.14),37 (22-1-14 60.81%),6 (0.16)
2,"Dundas, Matthew",23y 234d,84 (29-1-54 35.12%),66 (0.79),11 (3-1-7 31.82%),5 (0.45)
25,"Gale, Brendon",27y 11d,114 (45-1-68 39.91%),119 (1.04),←,
23,"Jurica, Stephen",19y 33d,7 (3-1-3 50.00%),11 (1.57),←,
3,"Kellaway, Duncan",22y 162d,49 (27-1-21 56.12%),,←,
33,"Knights, Matthew",24y 297d,145 (53-0-92 36.55%),94 (0.65),←,
28,"Merenda, Mark",19y 273d,14 (11-0-3 78.57%),2 (0.14),←,
6,"Naish, Chris",23y 305d,101 (40-1-60 40.10%),156 (1.54),←,
19,"Neeld, Mark",24y 16d,71 (39-1-31 55.63%),33 (0.46),23 (13-1-9 58.70%),16 (0.70)
7,"Prescott, Ashley",22y 321d,25 (15-1-9 62.00%),,←,
4,"Rogers, Matthew",21y 246d,34 (20-1-13 60.29%),29 (0.85),←,
5,"Tape, Jamie",21y 115d,38 (23-1-14 61.84%),2 (0.05),←,
29,"Torney, Jason",18y 43d,3 (1-1-1 50.00%),1 (0.33),←,
Totals,Totals,23y 141d,1339 (658-19-662 49.14%),814 (0.61),,
C,"Northey, John",52y 30d,248 (124-2-122 50.40%),,59 (28-1-30 48.31%),
