Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",7,5,7,14,,,1.0,,,,,,1.0,2.0,,,,,,,,,
1,"Champion, Richard",10,5,4,14,,,,1.0,,,,,,1.0,2.0,,,,,,,,
12,"Clarke, Troy",7,5,9,16,,,,,,,,,,3.0,,,,,,,,,
4,"Gastev, John",14,2,5,19,,,,2.0,,,,,2.0,2.0,,,,,,,,,
34,"Green, Ashley",3,2,4,7,,,,,,,,,,3.0,,,,,,,,,
14,"Hamilton, Shane",14,4,6,20,1,,,1.0,,,,,1.0,,,,,,,,,,
11,"Hutton, John",4,1,,4,2,2.0,,,,,,,3.0,1.0,,,,,,,,,
8,"Jeffrey, Russell",9,3,3,12,1,,,1.0,,,,,1.0,,,,,,,,,,
41,"Kennedy, Matthew",7,6,1,8,,,2.0,1.0,,,,,1.0,,,,,,,,,,
17,"Leslie, Martin",12,7,5,17,,,,2.0,,,,,1.0,4.0,,,,,,,,,
40,"McLuckie, Steven",10,4,2,12,,,,5.0,,,,,1.0,3.0,,,,,,,,,
24,"Merrett, Roger",11,5,3,14,,1.0,,1.0,,,,,4.0,5.0,,,,,,,,,
26,"Noonan, Danny",18,4,3,21,,,2.0,,,,,,1.0,2.0,,,,,,,,,
13,"Potter, Craig",12,1,6,18,1,1.0,,2.0,,,,,5.0,4.0,,,,,,,,,
27,"Rendell, Matthew",4,1,4,8,,,11.0,1.0,,,,,1.0,,,,,,,,,,
6,"Retzlaff, Brendon",9,3,3,12,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
23,"Schache, Laurence",1,1,1,2,,,,,,,,,,,,,,,,,,,
33,"White, Darryl",7,3,10,17,2,1.0,1.0,1.0,,,,,,4.0,,,,,,,,,
18,"Worsfold, Peter",,,,,,,,,,,,,,,,,,,,,,,
21,"Zanotti, Mark",12,6,5,17,1,3.0,,,,,,,3.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,171,68,81,252,9,10.0,17.0,19.0,,,,,26.0,37.0,2.0,,,,,,,,
Opposition,Opposition,186,54,92,278,14,19.0,25.0,35.0,,,,,37.0,26.0,4.0,,,,,,,,
