Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Cameron, Jeremy",10,5,1,11,4,1.0,,1.0,,3.0,,4.0,2.0,3.0,,2.0,9.0,1.0,2.0,1.0,,1.0,84.0
35,"Corr, Aidan",10,9,5,15,,,,1.0,7.0,,,1.0,,,,4.0,11.0,,,10.0,,,80.0
4,"Greene, Toby",13,7,4,17,3,1.0,,4.0,,4.0,,3.0,,2.0,,4.0,13.0,1.0,3.0,1.0,,,87.0
19,"Haynes, Nick",12,8,7,19,,,,3.0,5.0,2.0,,,1.0,,,10.0,9.0,2.0,,5.0,,,80.0
2,"Hopper, Jacob",8,4,10,18,,,,5.0,1.0,6.0,5.0,3.0,1.0,3.0,,10.0,10.0,,,1.0,,,70.0
17,"Johnson, Steve",5,2,6,11,,1.0,,3.0,,3.0,,3.0,2.0,,,7.0,7.0,,,2.0,,,83.0
22,"Kelly, Josh",11,4,13,24,,,,5.0,2.0,5.0,6.0,2.0,,,,12.0,13.0,1.0,,,1.0,1.0,82.0
40,"Kennedy, Adam",8,5,6,14,,,,1.0,2.0,2.0,,2.0,1.0,1.0,,2.0,11.0,1.0,,2.0,1.0,,90.0
15,"Kennedy, Matthew",6,1,7,13,,1.0,,6.0,,1.0,3.0,5.0,2.0,2.0,,10.0,4.0,1.0,,1.0,,,66.0
37,"Lobb, Rory",6,5,5,11,1,,10.0,2.0,2.0,2.0,1.0,2.0,1.0,,,7.0,4.0,3.0,1.0,2.0,,1.0,83.0
41,"Mumford, Shane",1,1,7,8,,,52.0,7.0,1.0,,2.0,4.0,2.0,4.0,,7.0,1.0,1.0,1.0,3.0,,,82.0
12,"Patton, Jonathon",10,9,2,12,3,2.0,,,,2.0,,4.0,,1.0,,3.0,9.0,2.0,3.0,,,1.0,93.0
50,"Reid, Sam",3,,2,5,,,,1.0,1.0,2.0,1.0,1.0,,1.0,,3.0,2.0,,,,,1.0,71.0
9,"Scully, Tom",12,4,11,23,,,,5.0,1.0,4.0,3.0,3.0,1.0,,,9.0,15.0,,,2.0,,1.0,96.0
23,"Shaw, Heath",23,5,1,24,,,,3.0,10.0,2.0,1.0,1.0,1.0,1.0,,3.0,14.0,,,3.0,1.0,,92.0
5,"Shiel, Dylan",15,4,14,29,,,,2.0,3.0,2.0,6.0,6.0,1.0,3.0,,14.0,15.0,,,,1.0,1.0,70.0
10,"Smith, Devon",10,3,14,24,,1.0,,7.0,1.0,1.0,1.0,,,,,8.0,16.0,,,2.0,,,85.0
14,"Taranto, Tim",5,4,15,20,,,,7.0,1.0,1.0,,2.0,,1.0,,7.0,13.0,,,2.0,,,65.0
20,"Tomlinson, Adam",9,5,4,13,,,,2.0,4.0,,,3.0,,1.0,,2.0,11.0,,,4.0,,,97.0
8,"Ward, Callan",11,2,16,27,,,,1.0,1.0,3.0,5.0,2.0,1.0,1.0,,15.0,13.0,,,1.0,1.0,,84.0
29,"Williams, Zac",16,5,9,25,,,,6.0,4.0,3.0,3.0,3.0,2.0,,2.0,8.0,17.0,1.0,,3.0,,1.0,84.0
16,"Wilson, Nathan",14,3,4,18,,,,2.0,4.0,2.0,3.0,5.0,,2.0,,7.0,9.0,1.0,,2.0,,,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,95,163,381,11,9.0,62.0,74.0,50.0,50.0,40.0,59.0,18.0,26.0,2.0,154.0,226.0,15.0,10.0,47.0,5.0,8.0,
Opposition,Opposition,203,72,169,372,9,19.0,25.0,72.0,36.0,63.0,38.0,48.0,26.0,18.0,4.0,158.0,209.0,7.0,8.0,61.0,6.0,3.0,
