Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",23y 2d,24 (13-0-11 54.17%),35 (1.46),←,
26,"Bradley, Kepler",24y 247d,82 (24-1-57 29.88%),46 (0.56),33 (11-0-22 33.33%),32 (0.97)
6,"Broughton, Greg",23y 292d,24 (10-0-14 41.67%),2 (0.08),←,
15,"Crowley, Ryan",26y 135d,94 (46-0-48 48.94%),72 (0.77),←,
40,"de Boer, Matt",20y 130d,29 (13-0-16 44.83%),7 (0.24),←,
41,"Duffield, Paul",25y 163d,61 (26-0-35 42.62%),18 (0.30),←,
13,"Fyfe, Nat",18y 303d,11 (8-0-3 72.73%),11 (1.00),←,
4,"Hasleby, Paul",29y 36d,203 (89-0-114 43.84%),123 (0.61),←,
43,"Hayden, Roger",29y 221d,118 (62-0-56 52.54%),13 (0.11),←,
32,"Hill, Stephen",20y 78d,38 (17-0-21 44.74%),23 (0.61),←,
5,"Ibbotson, Garrick",22y 125d,53 (19-0-34 35.85%),15 (0.28),←,
37,"Johnson, Michael",25y 271d,95 (48-0-47 50.53%),29 (0.31),←,
18,"McPharlin, Luke",28y 229d,160 (79-0-81 49.38%),112 (0.70),148 (71-0-77 47.97%),109 (0.74)
9,"McPhee, Adam",27y 285d,183 (76-1-106 41.80%),98 (0.54),41 (17-0-24 41.46%),15 (0.37)
2,"Morabito, Anthony",18y 262d,16 (11-0-5 68.75%),10 (0.63),←,
16,"Mundy, David",24y 363d,124 (58-0-66 46.77%),45 (0.36),←,
10,"Palmer, Rhys",21y 155d,35 (13-0-22 37.14%),16 (0.46),←,
29,"Pavlich, Matthew",28y 199d,229 (100-0-129 43.67%),451 (1.97),←,
24,"Roberton, Dylan",19y 27d,6 (5-0-1 83.33%),1 (0.17),←,
31,"Sandilands, Aaron",27y 224d,151 (75-0-76 49.67%),59 (0.39),←,
36,"Silvagni, Alex",22y 292d,13 (9-0-4 69.23%),3 (0.23),←,
47,"van Berlo, Jay",21y 303d,17 (11-0-6 64.71%),5 (0.29),←,
Totals,Totals,24y 48d,1766 (812-2-952 45.98%),1194 (0.68),,
C,"Harvey, Mark",45y 37d,67 (27-0-40 40.30%),,←,
