Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
44,"Bandy, Daniel",14,6,5,19,,1.0,,,2.0,2.0,1.0,,1.0,2.0,,7.0,12.0,2.0,1.0,,,,
30,"Brown, Leigh",4,2,4,8,,,,,4.0,,,2.0,1.0,1.0,,2.0,6.0,,,2.0,,,
9,"Callaghan, Craig",7,,5,12,1,1.0,,2.0,,6.0,2.0,2.0,2.0,1.0,,9.0,4.0,,,1.0,,,
10,"Cook, Troy",17,6,9,26,,1.0,,7.0,3.0,8.0,3.0,2.0,1.0,1.0,,12.0,14.0,1.0,,,2.0,,
12,"Dodd, Brad",7,1,2,9,,,,,,5.0,1.0,1.0,1.0,,,5.0,5.0,1.0,,,,,
18,"Fewster, Brendon",7,5,4,11,,2.0,1.0,3.0,,3.0,2.0,,1.0,2.0,,6.0,5.0,1.0,2.0,1.0,,,
2,"Fletcher, Adrian",12,1,16,28,,,,2.0,,3.0,10.0,2.0,1.0,1.0,,15.0,14.0,,,,,,
35,"Gale, Mark",3,1,4,7,,,,,,1.0,,1.0,,,,5.0,2.0,1.0,,1.0,,,
46,"Grover, Antoni",7,,1,8,,1.0,,1.0,2.0,2.0,,3.0,4.0,2.0,,5.0,3.0,,,,,,
4,"Hasleby, Paul",15,1,10,25,,1.0,,4.0,2.0,4.0,10.0,2.0,1.0,,,13.0,12.0,,,,,,
11,"Kickett, Dale",7,4,8,15,,,,6.0,3.0,1.0,1.0,2.0,2.0,3.0,,8.0,9.0,1.0,2.0,1.0,,,
28,"Koops, Steven",2,2,1,3,1,,1.0,3.0,,1.0,,2.0,,,,2.0,1.0,1.0,1.0,3.0,,,
20,"Longmuir, Justin",7,2,,7,2,,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,,5.0,1.0,2.0,2.0,,,,
21,"Longmuir, Troy",3,,6,9,,,,,1.0,1.0,1.0,1.0,2.0,,,7.0,2.0,,,,,,
8,"McManus, Shaun",7,2,7,14,,,,2.0,1.0,2.0,3.0,3.0,3.0,,,9.0,8.0,,,,,,
16,"Michael, Clem",1,1,7,8,,,25.0,1.0,,,3.0,,,1.0,,6.0,2.0,1.0,,1.0,,,
6,"Modra, Tony",10,6,1,11,5,1.0,,,,1.0,1.0,,,,,6.0,4.0,3.0,5.0,,,,
23,"Parker, Shane",7,1,1,8,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,5.0,,,,,,
36,"Prescott, Ashley",16,4,4,20,,1.0,,1.0,,6.0,2.0,2.0,2.0,2.0,,4.0,17.0,,,,,,
15,"Sinclair, Jess",11,3,4,15,2,,,2.0,,6.0,,1.0,2.0,1.0,,6.0,10.0,,,,1.0,,
19,"Walker, James",2,1,2,4,,,,2.0,,1.0,1.0,,,,,1.0,3.0,,,1.0,,,
26,"Waterhouse, Clive",13,8,5,18,1,3.0,1.0,1.0,,7.0,1.0,3.0,1.0,1.0,1.0,10.0,7.0,4.0,4.0,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,179,57,106,285,12,16.0,32.0,40.0,19.0,62.0,44.0,31.0,28.0,20.0,1.0,145.0,146.0,18.0,17.0,11.0,3.0,,
Opposition,Opposition,179,68,105,284,19,10.0,23.0,28.0,39.0,45.0,34.0,23.0,20.0,28.0,5.0,120.0,171.0,10.0,18.0,30.0,7.0,,
