Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",26y 71d,151 (89-0-62 58.94%),142 (0.94),28 (5-0-23 17.86%),22 (0.79)
30,"Brown, Leigh",20y 77d,49 (13-0-36 26.53%),16 (0.33),←,
9,"Carr, Matthew",23y 133d,56 (12-1-43 22.32%),13 (0.23),28 (5-0-23 17.86%),11 (0.39)
10,"Cook, Troy",25y 272d,94 (37-0-57 39.36%),39 (0.41),51 (13-0-38 25.49%),28 (0.55)
24,"Croad, Trent",22y 63d,91 (47-1-43 52.20%),94 (1.03),7 (3-0-4 42.86%),14 (2.00)
38,"Cunningham, Ben",20y 170d,14 (3-0-11 21.43%),13 (0.93),←,
7,"Farmer, Jeff",24y 321d,123 (54-0-69 43.90%),267 (2.17),5 (2-0-3 40.00%),8 (1.60)
14,"Grover, Antoni",22y 61d,24 (5-0-19 20.83%),3 (0.13),←,
39,"Haines, Daniel",21y 30d,2 (1-0-1 50.00%),,←,
4,"Hasleby, Paul",20y 333d,48 (12-0-36 25.00%),32 (0.67),←,
28,"Koops, Steven",23y 291d,50 (17-0-33 34.00%),40 (0.80),←,
20,"Longmuir, Justin",21y 110d,42 (9-0-33 21.43%),44 (1.05),←,
21,"Longmuir, Troy",22y 351d,51 (14-0-37 27.45%),19 (0.37),34 (9-0-25 26.47%),16 (0.47)
8,"McManus, Shaun",26y 91d,108 (31-0-77 28.70%),57 (0.53),←,
17,"McPhee, Adam",19y 217d,18 (4-0-14 22.22%),7 (0.39),←,
25,"Norrish, Jason",30y 105d,134 (48-0-86 35.82%),24 (0.18),114 (36-0-78 31.58%),22 (0.19)
23,"Parker, Shane",29y 82d,135 (42-0-93 31.11%),9 (0.07),←,
29,"Pavlich, Matthew",20y 131d,46 (11-0-35 23.91%),46 (1.00),←,
27,"Polak, Graham",17y 329d,3 (1-0-2 33.33%),,←,
35,"Siegert, Andrew",20y 113d,7 (3-0-4 42.86%),,←,
2,"Simmonds, Troy",23y 302d,45 (22-0-23 48.89%),9 (0.20),5 (2-0-3 40.00%),2 (0.40)
19,"Walker, James",23y 116d,60 (15-0-45 25.00%),8 (0.13),←,
Totals,Totals,23y 5d,1351 (490-2-859 36.27%),882 (0.65),,
C,"Connolly, Chris",39y 47d,8 (4-0-4 50.00%),,7 (3-0-4 42.86%),
