Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
46,"Baguley, Mark",15,6,8,23,1,1.0,,2.0,2.0,4.0,,3.0,2.0,1.0,,7.0,17.0,1.0,,3.0,,,96.0
2,"Bellchambers, Tom",6,4,6,12,1,1.0,10.0,1.0,,1.0,,1.0,2.0,1.0,,5.0,7.0,1.0,2.0,2.0,,,83.0
12,"Crameri, Stewart",11,2,5,16,4,3.0,,1.0,,2.0,1.0,1.0,2.0,,1.0,9.0,8.0,,2.0,,,,88.0
29,"Davey, Alwyn",10,4,6,16,4,2.0,,6.0,,2.0,,3.0,1.0,3.0,,8.0,9.0,,3.0,,2.0,,78.0
15,"Dempsey, Courtenay",16,6,10,26,,1.0,,2.0,1.0,6.0,,,,,,4.0,22.0,,1.0,4.0,3.0,2.0,91.0
9,"Goddard, Brendon",13,5,12,25,1,,1.0,7.0,1.0,4.0,3.0,5.0,1.0,,,12.0,13.0,1.0,,1.0,,,87.0
3,"Gumbleton, Scott",5,5,4,9,3,1.0,,4.0,,1.0,,,1.0,,,6.0,5.0,1.0,3.0,3.0,1.0,1.0,89.0
34,"Hardingham, Kyle",8,7,9,17,1,,,,5.0,2.0,,,,,,10.0,8.0,2.0,1.0,3.0,,,94.0
1,"Hibberd, Michael",18,9,11,29,,,,1.0,4.0,3.0,,4.0,1.0,1.0,3.0,10.0,19.0,2.0,,5.0,2.0,1.0,94.0
19,"Hille, David",11,4,7,18,1,2.0,18.0,2.0,,3.0,2.0,3.0,1.0,2.0,,9.0,8.0,,,2.0,,1.0,86.0
39 ↑,"Hocking, Heath",8,3,2,10,1,1.0,,1.0,,3.0,3.0,3.0,,2.0,,4.0,6.0,,,,,1.0,43.0
26,"Hooker, Cale",13,10,8,21,,,,2.0,6.0,,1.0,3.0,,2.0,,6.0,14.0,3.0,,4.0,,,91.0
40,"Howlett, Ben",10,4,6,16,,,,5.0,,6.0,4.0,5.0,1.0,2.0,,7.0,8.0,,,2.0,,,78.0
7,"Jetta, Leroy",5,2,7,12,,1.0,,5.0,,4.0,1.0,1.0,1.0,1.0,,6.0,6.0,,,,2.0,3.0,76.0
38,"Kommer, Nick",3,2,7,10,,,,3.0,,1.0,,,1.0,,,4.0,6.0,,,1.0,,1.0,81.0
17,"Melksham, Jake",11,4,6,17,,,,4.0,,6.0,1.0,5.0,1.0,1.0,,7.0,11.0,,,1.0,,,83.0
20,"Merrett, Jackson",10,4,3,13,,1.0,,5.0,,4.0,1.0,1.0,2.0,1.0,,4.0,7.0,,1.0,1.0,,1.0,80.0
23,"Myers, David",16,12,8,24,,,1.0,5.0,2.0,2.0,2.0,4.0,,2.0,,7.0,17.0,,,1.0,1.0,,76.0
16,"Pears, Tayte",9,5,9,18,,,,1.0,3.0,2.0,2.0,2.0,1.0,2.0,,6.0,12.0,,,4.0,,,92.0
5 ↓,"Stanton, Brent",6,3,2,8,,,,5.0,1.0,3.0,,,,,,,8.0,,,,,1.0,43.0
4,"Watson, Jobe",7,2,14,21,,1.0,,1.0,,1.0,2.0,4.0,,2.0,,10.0,11.0,1.0,1.0,,,1.0,87.0
11,"Zaharakis, David",17,3,10,27,,1.0,,4.0,1.0,9.0,6.0,3.0,1.0,1.0,,7.0,20.0,,,,,1.0,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,228,106,160,388,17,18.0,30.0,67.0,26.0,69.0,29.0,51.0,19.0,24.0,4.0,148.0,242.0,12.0,14.0,37.0,11.0,14.0,
Opposition,Opposition,218,106,130,348,12,9.0,41.0,51.0,50.0,41.0,44.0,53.0,24.0,19.0,2.0,152.0,192.0,15.0,9.0,52.0,6.0,10.0,
