Notes,Previous,Current
Brisbane Lions's highest score conceded,"139 v West Coast - R7,1997","186 v St Kilda - R22,2005"
Brisbane Lions's biggest loss,"79 v West Coast - R7,1997","139 v St Kilda - R22,2005"
