Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",28y 26d,221 (127-2-92 57.92%),287 (1.30),29 (3-0-26 10.34%),25 (0.86)
11,"Bennell, Harley",19y 251d,25 (2-0-23 8.00%),27 (1.08),←,
3,"Brennan, Jared",27y 317d,149 (58-3-88 39.93%),90 (0.60),30 (3-0-27 10.00%),15 (0.50)
30,"Brown, Campbell",28y 286d,183 (76-1-106 41.80%),75 (0.41),24 (1-0-23 4.17%),11 (0.46)
28,"Caddy, Josh",19y 255d,13 (0-0-13 0.00%),7 (0.54),←,
12,"Day, Sam",19y 277d,16 (1-0-15 6.25%),10 (0.63),←,
33,"Hall, Aaron",21y 213d,6 (0-0-6 0.00%),4 (0.67),←,
40,"Hickey, Tom",21y 95d,6 (0-0-6 0.00%),4 (0.67),←,
7,"Hunt, Karmichael",25y 205d,27 (2-0-25 7.41%),2 (0.07),←,
36,"Iles, Sam",24y 356d,31 (7-0-24 22.58%),11 (0.35),24 (3-0-21 12.50%),11 (0.46)
32,"Matera, Brandon",20y 90d,18 (2-0-16 11.11%),17 (0.94),←,
18,"McKenzie, Trent",20y 67d,29 (3-0-26 10.34%),14 (0.48),←,
51,"McQualter, Andrew",26y,93 (58-2-33 63.44%),39 (0.42),4 (0-0-4 0.00%),2 (0.50)
35,"Rischitelli, Michael",26y 153d,141 (52-3-86 37.94%),61 (0.43),30 (3-0-27 10.00%),14 (0.47)
8,"Russell, Luke",20y 137d,21 (1-0-20 4.76%),10 (0.48),←,
37,"Sexton, Alex",18y 189d,4 (0-0-4 0.00%),1 (0.25),←,
26,"Shaw, Matt",20y 125d,24 (2-0-22 8.33%),10 (0.42),←,
25,"Stanley, Danny",24y 112d,31 (4-0-27 12.90%),21 (0.68),26 (3-0-23 11.54%),21 (0.81)
48,"Tape, Seb",19y 308d,22 (1-0-21 4.55%),,←,
16,"Thompson, Rory",21y 89d,12 (1-0-11 8.33%),2 (0.17),←,
20,"Toy, Josh",20y 52d,11 (3-0-8 27.27%),1 (0.09),←,
14,"Warnock, Matthew",28y 67d,66 (11-1-54 17.42%),1 (0.02),11 (0-0-11 0.00%),
Totals,Totals,22y 316d,1149 (411-12-726 35.77%),694 (0.60),,
C,"McKenna, Guy",43y 29d,33 (3-0-30 9.09%),,←,
