Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",24y 291d,79 (48-0-31 60.76%),122 (1.54),41 (30-0-11 73.17%),67 (1.63)
14,"Anderson, Brady",24y 35d,19 (13-0-6 68.42%),1 (0.05),←,
11,"Archer, Glenn",26y 115d,153 (100-0-53 65.36%),98 (0.64),←,
26,"Bell, Peter",23y 138d,91 (61-0-30 67.03%),86 (0.95),89 (61-0-28 68.54%),84 (0.94)
12,"Blakey, John",32y 358d,290 (153-0-137 52.76%),94 (0.32),155 (101-0-54 65.16%),56 (0.36)
16,"Capuano, Mathew",23y 318d,59 (45-0-14 76.27%),17 (0.29),←,
18,"Carey, Wayne",28y 51d,198 (122-0-76 61.62%),528 (2.67),←,
23,"Clayton, Shane",20y 266d,34 (14-0-20 41.18%),9 (0.26),16 (12-0-4 75.00%),8 (0.50)
3,"Dhurrkay, Gary",25y 135d,64 (29-0-35 45.31%),61 (0.95),13 (9-0-4 69.23%),15 (1.15)
6,"Grant, Shannon",22y 89d,99 (62-1-36 63.13%),104 (1.05),41 (30-0-11 73.17%),66 (1.61)
29,"Harvey, Brent",21y 64d,57 (40-0-17 70.18%),57 (1.00),←,
34,"King, David",27y 132d,123 (82-0-41 66.67%),39 (0.32),←,
42,"Kingsley, Kent",20y 294d,7 (6-0-1 85.71%),9 (1.29),←,
35,"Longmire, John",28y 198d,196 (101-1-94 51.79%),511 (2.61),←,
5,"McCartney, Jason",25y 125d,113 (61-0-52 53.98%),50 (0.44),38 (27-0-11 71.05%),2 (0.05)
31,"McKernan, Corey",25y 210d,130 (90-0-40 69.23%),142 (1.09),←,
28,"Pickett, Byron",21y 340d,42 (30-0-12 71.43%),,←,
8,"Scott, Robert",30y 138d,240 (147-1-92 61.46%),220 (0.92),108 (72-0-36 66.67%),56 (0.52)
24,"Sholl, Craig",31y 199d,214 (128-0-86 59.81%),142 (0.66),←,
7,"Simpson, Adam",23y 151d,81 (59-0-22 72.84%),35 (0.43),←,
10,"Stevens, Anthony",28y 15d,197 (122-0-75 61.93%),92 (0.47),←,
30,"Welsh, Scott",20y 222d,29 (19-0-10 65.52%),20 (0.69),←,
Totals,Totals,25y 110d,2515 (1532-3-980 60.91%),2437 (0.97),,
C,"Pagan, Denis",51y 296d,161 (106-0-55 65.84%),,←,
