Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",19y 235d,31 (6-0-25 19.35%),17 (0.55),←,
22,"Bain, David",25y 16d,50 (11-0-39 22.00%),33 (0.66),←,
12,"Clarke, Troy",21y 344d,4 (0-0-4 0.00%),1 (0.25),←,
2,"Curran, Peter",28y 307d,115 (81-0-34 70.43%),200 (1.74),6 (0-0-6 0.00%),4 (0.67)
4,"Gastev, John",26y 280d,76 (28-0-48 36.84%),55 (0.72),46 (11-0-35 23.91%),24 (0.52)
14,"Hamilton, Shane",20y 273d,35 (12-0-23 34.29%),50 (1.43),8 (0-0-8 0.00%),10 (1.25)
5,"Hardie, Brad",28y 220d,136 (50-0-86 36.76%),192 (1.41),89 (22-0-67 24.72%),164 (1.84)
41,"Kennedy, Matthew",21y 103d,13 (2-0-11 15.38%),,←,
17,"Leslie, Martin",28y 182d,39 (9-0-30 23.08%),3 (0.08),←,
19,"McLean, Michael",26y 76d,103 (47-2-54 46.60%),26 (0.25),8 (0-0-8 0.00%),3 (0.38)
24,"Merrett, Roger",31y 29d,213 (113-2-98 53.52%),231 (1.08),64 (16-0-48 25.00%),83 (1.30)
26,"Noonan, Danny",22y 170d,7 (0-0-7 0.00%),2 (0.29),←,
34,"Ogg, David",23y 176d,2 (0-0-2 0.00%),,←,
11,"Phillips, Brenton",28y 194d,63 (23-0-40 36.51%),33 (0.52),53 (17-0-36 32.08%),30 (0.57)
30,"Ryan, Matthew",23y 350d,61 (21-1-39 35.25%),57 (0.93),6 (0-0-6 0.00%),5 (0.83)
23,"Schache, Laurence",23y 213d,3 (0-0-3 0.00%),4 (1.33),←,
29,"Taylor, Andrew",25y 320d,30 (11-0-19 36.67%),12 (0.40),29 (10-0-19 34.48%),12 (0.41)
46,"Wearne, David",21y 8d,16 (2-0-14 12.50%),2 (0.13),←,
35,"Worsfold, Peter",20y 311d,5 (0-0-5 0.00%),7 (1.40),←,
21,"Zanotti, Mark",26y 191d,76 (25-0-51 32.89%),8 (0.11),40 (8-0-32 20.00%),2 (0.05)
Totals,Totals,24y 273d,1078 (441-5-632 40.91%),933 (0.87),,
C,"Walls, Robert",40y 301d,207 (115-1-91 55.80%),,8 (0-0-8 0.00%),
