Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Barnard, Paul",4,,1,5,,,,1.0,1.0,,,,1.0,2.0,,,3.0,,,1.0,,,
22,"Barnes, John",6,3,6,12,,1.0,14.0,3.0,1.0,1.0,,2.0,1.0,2.0,,2.0,10.0,,,4.0,,,
8,"Bewick, Darren",8,3,6,14,,1.0,,,2.0,4.0,2.0,,,1.0,,5.0,10.0,,,1.0,2.0,,
32,"Blumfield, Justin",8,6,10,18,1,,1.0,5.0,,3.0,2.0,2.0,1.0,1.0,,8.0,9.0,1.0,1.0,1.0,,,
33,"Caracella, Blake",12,6,2,14,1,,,1.0,,7.0,3.0,2.0,,1.0,,5.0,11.0,1.0,1.0,4.0,,,
31,"Fletcher, Dustin",13,4,3,16,,,,1.0,9.0,,1.0,4.0,1.0,2.0,,8.0,4.0,3.0,,2.0,,,
11,"Hardwick, Damien",12,3,9,21,,,,3.0,3.0,1.0,,1.0,1.0,1.0,,9.0,12.0,,,1.0,,,
26,"Heffernan, Chris",15,4,7,22,1,1.0,,5.0,2.0,8.0,3.0,3.0,2.0,1.0,,9.0,12.0,2.0,,2.0,2.0,,
3,"Henneman, Aaron",11,3,2,13,,,,1.0,3.0,2.0,,,1.0,,,4.0,8.0,1.0,,2.0,,,
5,"Hird, James",15,8,14,29,,2.0,2.0,2.0,2.0,7.0,4.0,3.0,1.0,1.0,2.0,13.0,15.0,4.0,1.0,,,,
42,"Jacobs, Danny",9,7,4,13,2,,,1.0,,4.0,,,1.0,,,4.0,10.0,1.0,2.0,1.0,,,
14,"Johnson, Jason",18,4,7,25,,2.0,,3.0,1.0,7.0,4.0,2.0,1.0,,,9.0,17.0,,,1.0,6.0,,
1,"Johnson, Mark",20,8,3,23,,,,,3.0,2.0,,1.0,1.0,3.0,3.0,9.0,12.0,1.0,,2.0,4.0,,
18,"Lloyd, Matthew",15,10,2,17,7,2.0,1.0,2.0,,2.0,,4.0,1.0,3.0,,8.0,9.0,3.0,6.0,,,,
13,"Long, Michael",4,1,3,7,,1.0,,1.0,,2.0,,,1.0,,,4.0,3.0,,,,,,
25,"Lucas, Scott",7,3,2,9,4,,,4.0,,2.0,,,1.0,1.0,,3.0,5.0,1.0,2.0,,,,
2,"Mercuri, Mark",12,5,11,23,3,1.0,,1.0,,5.0,3.0,4.0,,1.0,,11.0,13.0,2.0,4.0,2.0,4.0,,
24,"Misiti, Joe",8,4,9,17,1,,,1.0,,1.0,3.0,1.0,1.0,,,7.0,9.0,,,,,,
9,"Ramanauskas, Adam",17,14,14,31,,1.0,,1.0,1.0,10.0,,2.0,,1.0,1.0,8.0,23.0,1.0,1.0,3.0,6.0,,
7,"Solomon, Dean",7,3,2,9,,,,,1.0,3.0,,1.0,,1.0,,4.0,5.0,,,1.0,,,
21,"Wallis, Dean",,1,2,2,,,,2.0,,,,1.0,,2.0,,1.0,1.0,1.0,,1.0,,,
6,"Wellman, Sean",6,3,,6,2,,2.0,,,,,,,1.0,,1.0,5.0,,2.0,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,227,103,119,346,22,13.0,20.0,38.0,29.0,71.0,25.0,33.0,16.0,25.0,6.0,132.0,206.0,22.0,20.0,29.0,24.0,,
Opposition,Opposition,207,84,95,302,13,9.0,25.0,30.0,40.0,47.0,38.0,35.0,25.0,16.0,,128.0,166.0,18.0,12.0,24.0,8.0,,
