Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Bugg, Tomas",6,2,4,10,,,,3.0,3.0,1.0,2.0,1.0,3.0,,,6.0,5.0,,,2.0,,,90.0
18,"Cameron, Jeremy",6,3,3,9,3,1.0,,2.0,,2.0,,1.0,2.0,1.0,,4.0,5.0,1.0,1.0,1.0,,,92.0
35,"Corr, Aidan",2,4,10,12,,,,3.0,2.0,,1.0,1.0,1.0,1.0,,6.0,6.0,2.0,,11.0,,,91.0
1 ↓,"Davis, Phil",1,,3,4,,,,,,,,2.0,1.0,1.0,,4.0,,,,3.0,,,39.0
4,"Greene, Toby",10,2,17,27,,,,5.0,3.0,3.0,6.0,7.0,,3.0,,11.0,17.0,,,,,1.0,84.0
32,"Griffen, Ryan",14,2,17,31,,,4.0,8.0,3.0,4.0,6.0,4.0,3.0,1.0,,13.0,19.0,,,3.0,,1.0,86.0
19,"Haynes, Nick",8,5,4,12,,,,6.0,7.0,,,,,,,4.0,6.0,1.0,,4.0,3.0,,91.0
33,"Hoskin-Elliott, Will",7,2,3,10,,,,2.0,2.0,3.0,2.0,3.0,,2.0,,2.0,8.0,,,4.0,,1.0,92.0
22,"Kelly, Josh",13,2,12,25,,2.0,,4.0,,3.0,2.0,2.0,1.0,,,9.0,17.0,,,1.0,,1.0,89.0
37,"Lobb, Rory",1,1,7,8,1,,7.0,2.0,,,,3.0,,1.0,,4.0,4.0,,,2.0,,,77.0
25,"McCarthy, Cam",4,1,3,7,1,,,3.0,,2.0,,,,,,2.0,6.0,1.0,,1.0,,1.0,87.0
7,"Palmer, Rhys",11,6,5,16,5,3.0,,2.0,,1.0,,4.0,1.0,1.0,1.0,7.0,10.0,1.0,4.0,,1.0,1.0,95.0
24,"Patfull, Joel",2,2,7,9,,,,3.0,1.0,1.0,1.0,1.0,,1.0,,4.0,4.0,,,2.0,,,92.0
12,"Patton, Jonathon",4,4,5,9,1,1.0,,,,1.0,,,,,,5.0,6.0,,2.0,1.0,,1.0,85.0
27,"Phillips, Andrew",2,2,5,7,,,26.0,2.0,,,3.0,5.0,,5.0,,6.0,2.0,2.0,,6.0,,,85.0
23,"Shaw, Heath",18,3,5,23,1,,,1.0,9.0,6.0,,2.0,1.0,1.0,,2.0,17.0,1.0,1.0,4.0,4.0,,92.0
10,"Smith, Devon",7,2,6,13,,1.0,,1.0,2.0,1.0,5.0,1.0,3.0,,,7.0,5.0,,1.0,,,2.0,78.0
38 ↑,"Steele, Jack",2,1,6,8,,1.0,2.0,4.0,,1.0,,1.0,,1.0,,4.0,3.0,1.0,1.0,,,,44.0
8,"Ward, Callan",13,1,17,30,,1.0,3.0,4.0,5.0,7.0,11.0,5.0,3.0,1.0,2.0,18.0,12.0,,,,,,86.0
6,"Whitfield, Lachie",7,3,5,12,,,,4.0,2.0,2.0,2.0,2.0,1.0,1.0,,4.0,8.0,,1.0,1.0,2.0,,74.0
29,"Williams, Zac",11,5,8,19,1,,,5.0,1.0,3.0,5.0,,,,,7.0,12.0,,,2.0,1.0,1.0,73.0
16,"Wilson, Nathan",11,4,5,16,,,,2.0,5.0,2.0,,4.0,1.0,,,2.0,12.0,,,3.0,,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,160,57,157,317,13,12.0,42.0,66.0,45.0,43.0,46.0,49.0,21.0,21.0,3.0,131.0,184.0,10.0,11.0,51.0,11.0,10.0,
Opposition,Opposition,202,83,169,371,16,15.0,53.0,72.0,20.0,63.0,42.0,54.0,21.0,21.0,3.0,144.0,224.0,15.0,12.0,43.0,6.0,11.0,
