Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Buntine, Matt",10,5,3,13,,,,1.0,3.0,1.0,,,1.0,,,7.0,7.0,1.0,,3.0,,1.0,77.0
3,"Coniglio, Stephen",15,4,10,25,1,,,8.0,2.0,3.0,8.0,1.0,1.0,,,15.0,10.0,1.0,1.0,,,1.0,84.0
16,"Daniels, Brent",3,1,6,9,,1.0,,3.0,,2.0,,,2.0,,,6.0,4.0,,,1.0,1.0,1.0,60.0
1,"Davis, Phil",9,8,9,18,,,,,6.0,,,3.0,1.0,1.0,,5.0,11.0,2.0,,8.0,,,96.0
7,"Deledio, Brett",9,6,5,14,,1.0,,4.0,,2.0,1.0,3.0,1.0,1.0,,6.0,9.0,,1.0,,,,72.0
4,"Greene, Toby",7,1,5,12,2,1.0,,2.0,1.0,2.0,1.0,,1.0,,,8.0,4.0,,,1.0,4.0,,79.0
19,"Haynes, Nick",14,4,1,15,,,,5.0,9.0,,,5.0,1.0,2.0,,2.0,13.0,,,5.0,2.0,,88.0
27,"Himmelberg, Harry",4,3,5,9,2,,,4.0,,,,3.0,,1.0,,5.0,4.0,1.0,1.0,5.0,,,86.0
2,"Hopper, Jacob",15,5,13,28,2,,,2.0,1.0,6.0,7.0,6.0,,2.0,,13.0,15.0,,1.0,,,,80.0
25,"Keeffe, Lachlan",4,4,3,7,,,,,,1.0,,,,,,1.0,5.0,,,3.0,,,93.0
22,"Kelly, Josh",20,3,10,30,,3.0,,5.0,4.0,6.0,5.0,2.0,3.0,,2.0,10.0,20.0,,,2.0,,2.0,85.0
40,"Kennedy, Adam",7,6,8,15,,,,2.0,3.0,4.0,,,,,,3.0,12.0,,,5.0,7.0,,79.0
17,"Langdon, Zac",3,,3,6,1,,,2.0,,1.0,,1.0,1.0,,,3.0,3.0,,,2.0,,,80.0
37,"Lobb, Rory",7,5,2,9,,1.0,8.0,3.0,,1.0,2.0,,,,,7.0,3.0,4.0,1.0,4.0,,,87.0
50,"Reid, Sam",7,3,3,10,1,2.0,,4.0,,1.0,,4.0,1.0,2.0,,4.0,8.0,,,1.0,,,85.0
23,"Shaw, Heath",20,5,8,28,,,,3.0,10.0,,1.0,9.0,,5.0,,10.0,13.0,3.0,,4.0,,,86.0
5,"Shiel, Dylan",11,1,12,23,,,,7.0,1.0,4.0,8.0,7.0,3.0,1.0,,13.0,11.0,,,,,,77.0
26,"Simpson, Dawson",5,2,6,11,,,46.0,7.0,1.0,1.0,2.0,2.0,2.0,,,6.0,5.0,1.0,,1.0,,,66.0
14,"Taranto, Tim",8,2,8,16,1,,,6.0,,4.0,3.0,2.0,,,,9.0,8.0,,1.0,3.0,,3.0,82.0
20,"Tomlinson, Adam",7,5,6,13,1,,1.0,,,,3.0,3.0,,1.0,,7.0,7.0,,1.0,2.0,,,87.0
8,"Ward, Callan",18,6,10,28,,2.0,2.0,4.0,4.0,6.0,9.0,2.0,1.0,,,13.0,16.0,,,1.0,,,82.0
6,"Whitfield, Lachie",23,8,8,31,,,,2.0,4.0,6.0,2.0,5.0,,1.0,3.0,7.0,22.0,,,1.0,,,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,226,87,144,370,11,14.0,57.0,74.0,49.0,51.0,52.0,58.0,19.0,17.0,5.0,160.0,210.0,13.0,7.0,52.0,14.0,8.0,
Opposition,Opposition,220,102,146,366,8,10.0,30.0,72.0,36.0,58.0,30.0,60.0,17.0,19.0,1.0,129.0,230.0,9.0,7.0,54.0,11.0,4.0,
