Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",12,3,3,15,,1.0,,4.0,,8.0,1.0,1.0,,1.0,,6.0,8.0,,,,3.0,,
26,"Bell, Peter",14,3,12,26,1,1.0,,2.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,9.0,16.0,,1.0,,,,
12,"Blakey, John",16,4,6,22,,,,,5.0,4.0,,3.0,2.0,2.0,,7.0,14.0,1.0,,,3.0,,
22,"Burton, Matthew",7,3,4,11,,,25.0,2.0,1.0,3.0,3.0,,5.0,,,5.0,4.0,1.0,,1.0,,,
18,"Carey, Wayne",16,5,3,19,3,6.0,1.0,1.0,,4.0,2.0,2.0,1.0,2.0,,8.0,10.0,,4.0,1.0,,,
23,"Clayton, Shane",11,2,2,13,,,,4.0,1.0,3.0,,,,,,3.0,11.0,,,1.0,1.0,,
45,"Cochrane, Stuart",2,,4,6,,,,4.0,,1.0,,,1.0,,,5.0,3.0,,,,,,
2,"Colbert, Leigh",13,4,7,20,,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,1.0,8.0,11.0,1.0,,,,,
6,"Grant, Shannon",2,2,2,4,,,,2.0,,2.0,,1.0,,,,1.0,3.0,,,,,,
29,"Harvey, Brent",13,6,8,21,1,2.0,,2.0,1.0,4.0,3.0,4.0,1.0,,,5.0,13.0,,2.0,2.0,8.0,,
21,"Hewitt, Evan",1,1,,1,,,1.0,,,1.0,,,,,,,1.0,,,,,,
34,"King, David",27,5,3,30,2,,,4.0,4.0,9.0,6.0,2.0,2.0,2.0,,15.0,12.0,,,3.0,1.0,,
20,"Kingsley, Kent",2,1,,2,,1.0,,,,,,,,,,,2.0,,1.0,,,,
27,"Lange, Adam",8,5,,8,1,2.0,,3.0,,4.0,,2.0,2.0,2.0,,3.0,3.0,2.0,1.0,,,,
35,"Makepeace, Troy",8,3,5,13,,,,5.0,3.0,1.0,2.0,1.0,1.0,1.0,,7.0,5.0,,,3.0,,,
5,"McCartney, Jason",6,2,3,9,,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,4.0,6.0,,,1.0,,,
31,"McKernan, Corey",18,8,5,23,8,1.0,11.0,1.0,,9.0,3.0,1.0,4.0,1.0,3.0,14.0,6.0,4.0,4.0,1.0,,,
28,"Pickett, Byron",7,2,5,12,,,,1.0,5.0,,1.0,1.0,3.0,1.0,,6.0,5.0,1.0,,3.0,4.0,,
13,"Pike, Martin",10,4,5,15,,,,1.0,3.0,1.0,1.0,,1.0,,,8.0,7.0,1.0,,1.0,,,
24,"Sholl, Craig",3,1,3,6,,,,,,1.0,,2.0,,1.0,,4.0,3.0,,,1.0,,,
7,"Simpson, Adam",12,5,6,18,1,,2.0,4.0,1.0,2.0,2.0,1.0,,1.0,,6.0,12.0,2.0,,2.0,,,
10,"Stevens, Anthony",9,5,5,14,1,,,4.0,,4.0,3.0,2.0,2.0,1.0,,3.0,11.0,,,2.0,1.0,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,217,74,91,308,18,16.0,41.0,48.0,31.0,65.0,34.0,29.0,30.0,19.0,6.0,127.0,166.0,13.0,13.0,22.0,21.0,,
Opposition,Opposition,201,71,112,313,13,7.0,20.0,34.0,43.0,47.0,48.0,39.0,19.0,30.0,,144.0,175.0,6.0,8.0,24.0,9.0,,
