Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
19,"Bishop, Matthew",27y 57d,66 (38-1-27 58.33%),6 (0.09),48 (31-1-16 65.63%),2 (0.04)
7,"Burgoyne, Peter",24y 220d,110 (58-2-50 53.64%),124 (1.13),←,
8,"Burgoyne, Shaun",19y 320d,15 (14-0-1 93.33%),23 (1.53),←,
9,"Carr, Josh",22y 130d,61 (40-1-20 66.39%),32 (0.52),←,
35,"Cornes, Chad",22y 298d,74 (44-1-29 60.14%),76 (1.03),←,
18,"Cornes, Kane",19y 244d,20 (14-0-6 70.00%),4 (0.20),←,
17,"Dew, Stuart",23y 19d,97 (53-2-42 55.67%),147 (1.52),←,
10,"Francou, Josh",28y 30d,129 (69-3-57 54.65%),65 (0.50),←,
31,"French, Barnaby",26y 285d,60 (33-1-26 55.83%),20 (0.33),←,
34,"Guerra, Brent",20y 100d,51 (36-0-15 70.59%),33 (0.65),←,
11,"Hardwick, Damien",30y 19d,171 (115-1-55 67.54%),13 (0.08),18 (14-0-4 77.78%),
38,"James, Roger",26y 320d,99 (56-2-41 57.58%),64 (0.65),←,
29,"Kingsley, Adam",27y 17d,111 (60-2-49 54.95%),24 (0.22),←,
33,"Mead, Darren",31y 161d,122 (62-3-57 52.05%),8 (0.07),←,
3,"Montgomery, Brett",29y 97d,128 (80-2-46 63.28%),86 (0.67),68 (40-1-27 59.56%),32 (0.47)
14,"Paxman, Stephen",31y 276d,213 (78-2-133 37.09%),35 (0.16),111 (56-2-53 51.35%),17 (0.15)
27,"Poulton, Jared",25y 138d,56 (33-1-22 59.82%),16 (0.29),←,
1,"Primus, Matthew",27y 237d,127 (59-2-66 47.24%),58 (0.46),107 (58-2-47 55.14%),53 (0.50)
6,"Schofield, Jarrad",27y 219d,144 (84-1-59 58.68%),102 (0.71),81 (45-1-35 56.17%),68 (0.84)
36,"Stevens, Nick",22y 246d,102 (56-2-44 55.88%),66 (0.65),←,
16,"Tredrea, Warren",23y 256d,105 (58-1-46 55.71%),201 (1.91),←,
4,"Wanganeen, Gavin",29y 80d,230 (131-5-94 58.04%),149 (0.65),103 (58-2-43 57.28%),86 (0.83)
Totals,Totals,25y 288d,2291 (1271-35-985 55.48%),1352 (0.59),,
C,"Williams, Mark",44y 16d,91 (52-1-38 57.69%),,←,
