Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Allan, Matthew",8,10,7,15,,,21.0,,,1.0,1.0,2.0,,3.0,,,,,,,,,
21,"Bradley, Craig",18,2,4,22,,1.0,,6.0,2.0,4.0,5.0,2.0,,1.0,,,,,,,,,
16,"Camporeale, Scott",17,5,9,26,2,1.0,,,2.0,5.0,1.0,,2.0,1.0,,,,,,,,,
6,"Clape, Matt",5,,1,6,,,,,,,,,1.0,,,,,,,,,,
34,"De Iulio, Ron",9,3,3,12,,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
35,"Dean, Peter",4,,1,5,,,,1.0,2.0,,,,1.0,,,,,,,,,,
45,"Franchina, Anthony",9,4,5,14,,,,4.0,,1.0,2.0,1.0,,,,,,,,,,,
36,"Hamill, Aaron",7,2,1,8,,,,2.0,1.0,2.0,,,3.0,,,,,,,,,,
33,"Hogg, Matthew",6,2,4,10,,,,,1.0,2.0,,1.0,3.0,2.0,,,,,,,,,
42,"Hoppner, Trent",6,3,,6,,,,,,2.0,,1.0,,1.0,,,,,,,,,
27,"Hulme, Darren",1,1,5,6,,,,,,,,,1.0,,,,,,,,,,
43,"Koutoufides, Anthony",11,4,7,18,1,,,1.0,1.0,3.0,2.0,1.0,3.0,,,,,,,,,,
44,"Lang, Damian",9,6,5,14,,1.0,,,1.0,4.0,,,1.0,,,,,,,,,,
17,"Lock, Damien",13,5,7,20,,2.0,,,1.0,6.0,,2.0,,2.0,,,,,,,,,
22,"Manton, Glenn",3,1,3,6,,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,
15,"Nelson, Ben",2,1,1,3,,,,1.0,1.0,,,1.0,,,,,,,,,,,
19,"Pearce, Brad",10,9,2,12,5,1.0,,,1.0,,,,,,,,,,,,,,
11,"Porter, Mark",2,4,8,10,1,,9.0,3.0,,1.0,1.0,,,,,,,,,,,,
7,"Ratten, Brett",11,4,13,24,,,,2.0,1.0,4.0,11.0,,1.0,,,,,,,,,,
23,"Rice, Dean",12,5,6,18,,,,2.0,3.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,
14,"Sexton, Michael",18,7,7,25,,,1.0,,3.0,5.0,1.0,2.0,2.0,1.0,,,,,,,,,
8,"Whitnall, Lance",11,10,4,15,2,2.0,,,,2.0,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,88,103,295,11,10.0,31.0,25.0,26.0,44.0,28.0,16.0,22.0,14.0,,,,,,,,,
Opposition,Opposition,214,103,75,289,25,15.0,25.0,24.0,26.0,58.0,28.0,16.0,14.0,22.0,6.0,,,,,,,,
