Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
24,"Bryan, Nick",23y 172d,23 (7-0-16 30.43%),2 (0.09),←,
30,"Caddy, Nate",19y 272d,14 (6-0-8 42.86%),13 (0.93),←,
2,"Draper, Sam",26y 196d,77 (29-1-47 38.31%),42 (0.55),←,
22,"Durham, Sam",23y 277d,75 (34-1-40 46.00%),21 (0.28),←,
28,"Duursma, Xavier",24y 279d,92 (57-1-34 62.50%),45 (0.49),19 (10-1-8 55.26%),12 (0.63)
41,"El-Hawli, Saad",23y 332d,2 (2-0-0 100.00%),,←,
11,"Gresham, Jade",27y 231d,162 (76-2-84 47.53%),159 (0.98),26 (12-1-13 48.08%),23 (0.88)
8,"Hobbs, Ben",21y 208d,51 (21-1-29 42.16%),18 (0.35),←,
23,"Jones, Harry",24y 46d,56 (28-1-27 50.89%),55 (0.98),←,
10,"Kako, Isaac",19y 36d,4 (2-0-2 50.00%),3 (0.75),←,
37,"Martin, Nic",24y 9d,71 (31-1-39 44.37%),54 (0.76),←,
1,"McGrath, Andrew",26y 314d,161 (76-2-83 47.83%),20 (0.12),←,
32,"McKay, Ben",27y 109d,98 (21-2-75 22.45%),1 (0.01),27 (13-1-13 50.00%),
29,"Menzie, Jye",22y 166d,40 (19-0-21 47.50%),32 (0.80),←,
7,"Merrett, Zach",29y 191d,233 (101-3-129 43.99%),84 (0.36),←,
16,"Perkins, Archie",23y 17d,83 (35-0-48 42.17%),50 (0.60),←,
25,"Prior, Jaxon",23y 312d,43 (30-1-12 70.93%),11 (0.26),4 (2-0-2 50.00%),
27,"Redman, Mason",27y 229d,128 (59-2-67 46.88%),22 (0.17),←,
31,"Reid, Zach",23y 41d,13 (4-0-9 30.77%),,←,
14,"Ridley, Jordan",26y 174d,97 (41-1-55 42.78%),2 (0.02),←,
21,"Roberts, Archie",19y 145d,8 (3-0-5 37.50%),2 (0.25),←,
12,"Setterfield, Will",27y 66d,72 (28-0-44 38.89%),14 (0.19),15 (6-0-9 40.00%),2 (0.13)
9,"Shiel, Dylan",32y 34d,224 (95-4-125 43.30%),92 (0.41),89 (36-1-52 41.01%),28 (0.31)
Totals,Totals,24y 247d,1827 (805-23-999 44.06%),742 (0.41),,
C,"Scott, Brad",48y 344d,261 (130-1-130 50.00%),,50 (24-1-25 49.00%),
