Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",31y 136d,250 (152-0-98 60.80%),131 (0.52),←,
16,"Brown, Leigh",22y 166d,104 (40-1-63 38.94%),45 (0.43),41 (21-1-19 52.44%),25 (0.61)
23,"Clayton, Shane",25y 288d,117 (61-1-55 52.56%),52 (0.44),99 (59-1-39 60.10%),51 (0.52)
6,"Grant, Shannon",27y 110d,211 (122-2-87 58.29%),232 (1.10),153 (90-1-62 59.15%),194 (1.27)
31,"Hale, David",20y 77d,12 (4-0-8 33.33%),4 (0.33),←,
39,"Harding, Leigh",23y 103d,52 (28-1-23 54.81%),82 (1.58),←,
4,"Harris, Daniel",22y 89d,44 (23-1-20 53.41%),16 (0.36),←,
21,"Jones, Corey",23y 163d,55 (26-0-29 47.27%),53 (0.96),←,
34,"King, David",32y 153d,238 (145-1-92 61.13%),145 (0.61),←,
35,"Makepeace, Troy",25y 154d,101 (53-1-47 52.97%),27 (0.27),←,
5,"McKernan, Corey",30y 232d,234 (130-0-104 55.56%),306 (1.31),193 (124-0-69 64.25%),246 (1.27)
19,"Motlop, Daniel",22y 144d,41 (17-1-23 42.68%),48 (1.17),←,
20,"Petrie, Drew",21y 297d,60 (29-1-30 49.17%),54 (0.90),←,
3,"Rawlings, Brady",23y 58d,88 (50-0-38 56.82%),36 (0.41),←,
26,"Rocca, Saverio",30y 261d,225 (105-3-117 47.33%),676 (3.00),69 (35-1-33 51.45%),162 (2.35)
7,"Simpson, Adam",28y 173d,199 (123-1-75 62.06%),65 (0.33),←,
9,"Sinclair, Jess",25y 347d,117 (43-1-73 37.18%),55 (0.47),67 (30-1-36 45.52%),29 (0.43)
10,"Stevens, Anthony",33y 36d,289 (173-1-115 60.03%),126 (0.44),←,
12,"Stevens, Michael",23y 274d,38 (20-0-18 52.63%),8 (0.21),21 (12-0-9 57.14%),5 (0.24)
14,"Urch, Callum",20y 17d,1 (1-0-0 100.00%),,←,
36,"Watt, Shannon",23y 255d,66 (34-1-31 52.27%),4 (0.06),←,
8,"Wells, Daniel",19y 186d,37 (20-1-16 55.41%),22 (0.59),←,
Totals,Totals,25y 119d,2579 (1399-18-1162 54.25%),2187 (0.85),,
C,"Laidley, Dani",37y 133d,41 (21-1-19 52.44%),,←,
